cdigo,cd_pai,nome,CJF,CNJ,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTR,JFTRU,JME1G,JMETJM,JMU1G,JMUSTM,JT1G,JT2G,JTTST,STF,STJ,TEU
1978,2656,Gestante,,,,,,,,,,,,,,,,,,X,X,X,X,,
1981,2656,Membro da Cipa,,,,,,,,,,,,,,,,,,X,X,X,X,,
1998,2546,Multa de 40% do FGTS,,,,,,,,,,,,,,,,,,X,X,X,X,,
2019,2662,Fruição / Gozo ,,,,,,,,,,,,,,,,,,X,X,X,X,,
2021,2662,Indenização / Terço Constitucional,,,,,,,,,,,,,,,,,,X,X,X,X,,
2055,2581,Gratificação,,,,,,,,,,,,,,,,,,X,X,X,X,,
2117,2581,Supressão de Horas Extras Habituais - Indenização,,,,,,,,,,,,,,,,,,X,X,X,X,,
2135,864,Sentença Normativa,,,,,,,,,,,,,,,,,,X,X,X,X,,
2210,2546,Multa do Artigo 467 da CLT,,,,,,,,,,,,,,,,,,X,X,X,X,,
2212,2546,Multa do Artigo 477 da CLT,,,,,,,,,,,,,,,,,,X,X,X,X,,
2215,2581,Multa Prevista em Norma Coletiva,,,,,,,,,,,,,,,,,,X,X,X,X,,
2243,2620,Plano de Demissão Voluntária,,,,,,,,,,,,,,,,,,X,X,X,X,,
2273,2581,PIS - Indenização,,,,,,,,,,,,,,,,,,X,X,X,X,,
2275,2458,Piso Salarial da Categoria / Salário Mínimo Profissional,,,,,,,,,,,,,,,,,,X,X,X,X,,
2331,2581,Prêmio,,,,,,,,,,,,,,,,,,X,X,X,X,,
2349,2581,Contribuição de Previdência Privada - Resgate,,,,,,,,,,,,,,,,,,X,X,X,X,,
2364,2581,Plano de Saúde,,,,,,,,,,,,,,,,,,X,X,X,X,,
2435,2620,Rescisão Indireta,,,,,,,,,,,,,,,,,,X,X,X,X,,
2449,2458,Reajuste Salarial,,,,,,,,,,,,,,,,,,X,X,X,X,,
2450,2581,Gorjeta,,,,,,,,,,,,,,,,,,X,X,X,X,,
2452,2458,Salário Vencido / Retido,,,,,,,,,,,,,,,,,,X,X,X,X,,
2458,2581,Salário / Diferença Salarial,,,,,,,,,,,,,,,,,,X,X,X,X,,
2461,2458,Salário Família,,,,,,,,,,,,,,,,,,X,X,X,X,,
2463,2458,Salário Paternidade,,,,,,,,,,,,,,,,,,X,X,X,X,,
2466,2458,Salário Por Fora - Integração,,,,,,,,,,,,,,,,,,X,X,X,X,,
2468,2458,Salário Por Safra,,,,,,,,,,,,,,,,,,X,X,X,X,,
2477,2581,Seguro de Vida,,,,,,,,,,,,,,,,,,X,X,X,X,,
2478,2620,Seguro Desemprego,,,,,,,,,,,,,,,,,,X,X,X,X,,
2479,2478,Indenização,,,,,,,,,,,,,,,,,,X,X,X,X,,
2480,2478,Liberação das Guias,,,,,,,,,,,,,,,,,,X,X,X,X,,
2493,2581,Tarefa ,,,,,,,,,,,,,,,,,,X,X,X,X,,
2506,2581,Auxílio / Tíquete Alimentação,,,,,,,,,,,,,,,,,,X,X,X,X,,
2540,2581,Vale Transporte,,,,,,,,,,,,,,,,,,X,X,X,X,,
2546,2620,Verbas Rescisórias,,,,,,,,,,,,,,,,,,X,X,X,X,,
2557,7628,Aprendizagem,,,,,,,,,,,,,,,,,,X,X,X,X,,
2558,7628,Cooperado,,,,,,,,,,,,,,,,,,X,X,X,X,,
2559,7628,Estágio,,,,,,,,,,,,,,,,,,X,X,X,X,,
2567,864,Responsabilidade Civil do Empregador,,,X,X,,,X,,,,,,,X,X,,X,X,X,X,X,,
2569,1855,Acidente de Trabalho,,,X,X,,,X,,,,,,,,,,X,X,X,X,X,,
2581,864,"Verbas Remuneratórias, Indenizatórias e Benefícios",,,,,,,,,,,,,,,,,,X,X,X,X,,
2583,2581,Abono,,,,,,,,,,,,,,,,,,X,X,X,X,,
2594,2581,Adicional ,,,,,,,,,,,,,,,,,,X,X,X,X,,
2604,2594,Adicional de Transferência,,,,,,,,,,,,,,,,,,X,X,X,X,,
2606,2581,Ajuda de Custo,,,,,,,,,,,,,,,,,,X,X,X,X,,
2620,864,Rescisão do Contrato de Trabalho,,,,,,,,,,,,,,,,,,X,X,X,X,,
2622,864,Aposentadoria e Pensão,,,,,,,,,,,,,,,,,,X,X,X,X,,
2624,2622,Complementação de Aposentadoria / Pensão,,,,,,,,,,,,,,,,,,X,X,X,X,,
2641,2546,AVISO PRÉVIO,,,,,,,,,,,,,,,,,,X,X,X,X,,
2656,2620,Reintegração / Readmissão ou Indenização Substitutiva,,,,,,,,,,,,,,,,,,X,X,X,X,,
2657,2656,Anistia,,,,,,,,,,,,,,,,,,X,X,X,X,,
2661,2656,Estabilidade Acidentária,,,,,,,,,,,,,,,,,,X,X,X,X,,
2662,864,Férias,,,,,,,,,,,,,,,,,,X,X,X,X,,
2663,2662,Abono Pecuniário,,,,,,,,,,,,,,,,,,X,X,X,X,,
2666,2581,Décimo Terceiro Salário,,,,,,,,,,,,,,,,,,X,X,X,X,,
2697,2458,Salário por Equiparação / Isonomia,,,,,,,,,,,,,,,,,,X,X,X,X,,
2704,1937,Terceirização / Tomador de Serviços,,,,,,,,,,,,,,,,,,X,X,X,X,,
3369,287,Crimes contra a vida,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3370,3369,Homicídio Simples,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3371,3369,Homicídio Privilegiado,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3372,3369,Homicídio Qualificado,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3373,3369,"Induzimento, Instigação ou Auxílio a Suicídio",,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3375,3369,Infanticídio,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3385,287,Lesão Corporal,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3386,3385,Leve,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3387,3385,Seguida de Morte,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3388,287,Periclitação da Vida e da Saúde,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3389,3388,Perigo de contágio de moléstia grave,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3390,3388,Perigo para a vida ou saúde de outrem,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3391,3388,Abandono de incapaz,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3392,3388,Omissão de socorro,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3393,287,Rixa,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3394,287,Crimes contra a Honra,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3395,3394,Calúnia,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3396,3394,Difamação,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3397,3394,Injúria,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3400,287,Crimes contra a liberdade pessoal,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3401,3400,Constrangimento ilegal ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3402,3400,Ameaça ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3403,3400,Seqüestro e cárcere privado ,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3404,3400,Redução a condição análoga à de escravo ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3405,287,Crimes contra a inviolabilidade de domicílio,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3406,3405,Violação de domicílio ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3407,287,Crimes contra a inviolabilidade de correspondência,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3408,3407,Violação de correspondência ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3409,3407,Sonegação ou destruição de correspondência ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3410,3407,"Violação de comunicação telegráfica, radioelétrica ou telefônica ",,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3411,3407,Violação de Correspondência comercial ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3412,287,Crimes contra a inviolabilidade de segredo,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3413,3412,Divulgação de segredo ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3414,3412,Violação do segredo profissional ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3415,287,Crimes contra o Patrimônio,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3416,3415,Furto ,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3417,3415,Furto Qualificado ,,,X,X,,,,X,X,,,,,X,X,X,X,,,,X,X,
3418,3415,Furto de coisa comum ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3419,3415,Roubo ,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3420,3415,Extorsão ,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3421,3415,Extorsão mediante seqüestro ,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3422,3415,Extorsão indireta,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3423,3415,Alteração de limites ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3424,3415,Usurpação de águas ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3425,3415,Esbulho possessório,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3426,3415,Dano,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3427,3415,Introdução ou abandono de animais em propriedade alheia,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3428,3415,"Dano em coisa de valor artístico, arqueológico ou histórico",,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3429,3415,Alteração de local especialmente protegido,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3430,3415,Apropriação indébita Previdenciária ,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3431,3415,Estelionato,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3432,3415,Estelionato Majorado ,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3433,3415,Outras fraudes,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3434,3415,Fraude à execução ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3435,3415,Receptação,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3436,3415,Apropriação indébita,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3437,3415,"Apropriação de Coisa Havida por Erro, Caso Fortuito ou Força da Natureza",,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3438,3603,Crimes contra a Propriedade Industrial,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3442,287,Crimes contra a Propriedade Intelectual,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3443,3442,Violação de direito autoral,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3445,287,Crimes contra a Organização do Trabalho,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3446,3445,Atentado contra a liberdade de trabalho,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3447,3445,Atentado contra a liberdade de contrato de trabalho e boicotagem violenta,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3448,3445,Atentado contra a liberdade de associação,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3449,3445,"Paralisação de trabalho, seguida de violência ou perturbação da ordem",,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3450,3445,Paralisação de trabalho de interesse coletivo,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3451,3445,"Invasão de estabelecimento industrial, comercial ou agrícola. Sabotagem",,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3452,3445,Frustração de direitos assegurados por lei trabalhista,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3453,3445,Exercício de atividade com infração de decisão administrativa ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3454,3445,Aliciamento para fins de emigração,,,,,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3455,3445,Aliciamento de trabalhadores de um local para outro do território nacional,,,,,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3456,3445,Frustração de lei sobre a nacionalização do trabalho ,,,,,,X,,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3457,287,Crimes contra o sentimento religioso e contra o respeito aos mortos,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3458,3457,Destruição / Subração / Ocultação de Cadáver,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3459,3457,Impedimento ou Perturbação de Cerimônia Funerária,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3460,3457,Vilipêndio a Cadáver,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3461,3457,Violação a Sepultura ,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3462,3457,Ultraje / Impedimento ou Perturbação de Culto Religioso,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3463,287,Crimes contra a Dignidade Sexual,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3465,3463,Estupro ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3466,3463,Atentado Violento ao Pudor ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3467,3463,Atentado ao Pudor Mediante Fraude,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3468,3463,Corrupção de Menores,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3469,3463,Ultraje Público ao Pudor (Ato/Escrito Obsceno),,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3471,3463,Mediação para Servir a Lascívia de Outrem ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3472,287,Crimes contra a Família,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3473,3472,Crimes Contra a Assistência Familiar,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3474,3473,Abandono Material,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3475,3473,Abandono Intelectual,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3476,3473,Entrega de Filho Menor a Pessoa Inidônea,,,X,X,,X,,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3477,3472,Crimes contra o Casamento,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3479,3477,Bigamia,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3480,3477,Conhecimento Prévio de Impedimento ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3481,3477,Induzimento a erro essencial e ocultação de impedimento,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3482,3477,Simulação de Casamento,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3483,3477,Simulação de Autoridade para Celebração de Casamento,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3484,3472,Crimes Contra o Estado de Filiação,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3485,3484,Parto Suposto ,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3486,3484,Registro de Nascimento Inexistente,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3487,3484,Sonegação do Estado de Filiação,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3488,3472,Crime contra o Pátrio-Poder e Tutela,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3489,3488,"Induzimento a Fuga, Entrega Arbitrária ou Sonegação de Incapazes",,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3490,3488,Subtração de Incapazes ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3491,287,Crimes contra a Incolumidade Pública,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3492,3491,Incêndio,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X
3493,3491,Explosão ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X
3494,3491,Uso de gás tóxico ou asfixiante ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X
3495,3491,Inundação / Perigo de Inundação,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X
3496,3491,Desabamento ou desmoronamento,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X
3497,3491,"Subtração, ocultação ou inutilização de material de salvamento",,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3498,3491,Difusão de doença ou praga,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3500,3491,Desastre ferroviário / Perigo de Desastre Ferroviário,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3501,3491,Atentado contra a segurança de transporte público,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3502,3491,Arremesso de projétil,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3503,3491,Atentado contra a segurança de serviços de utilidade pública ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3504,3491,Interrupção /perturbação de serviços telegráficos/telefônicos,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3505,3491,Epidemia ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3506,3491,Emprego de Processo Proibido/Substância não permitida,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3507,3491,Invólucro ou recipiente com falsa indicação ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3508,3491,Falsificação / Corrupção / Adulteração / Alteração de produto destinado a fins terapêuticos ou medicinais,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3509,3491,"Exercício Ilegal da Medicina, Arte Dentária ou Farmacêutica",,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3510,3491,Charlatanismo ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3511,3491,Corrupção ou Poluição de Água Potável,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3512,3491,Curandeirismo ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3513,3491,Envenenamento de Água Potável / Substância Alimentícia ou Medicinal,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3514,3491,Falsificação / Corrupção / Adulteração / Alteração de Substância ou Produtos Alimentícios,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3515,3491,Infração de Medida Sanitária Preventiva,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3516,3491,Omissão de Notificação de Doença,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3517,3491,Outras Substâncias Nocivas a Saúde Pública ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3519,3491,Substância Destinada à Falsificação,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3520,287,Crimes contra a Paz Pública,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3521,3520,Quadrilha ou Bando,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3523,287,Crimes contra a Fé Pública,X,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
3524,3523,Moeda Falsa / Assimilados,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3527,3523,Petrechos para falsificação de moeda ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3528,3523,Emissão de título ao portador sem permissão legal ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3529,3523,Falsificação de papéis públicos ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3530,3523,Falsificação do selo ou sinal público ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3531,3523,Falsificação de documento público,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3532,3523,Falsificação de documento particular ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3533,3523,Falsidade ideológica ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3534,3523,Falso reconhecimento de firma ou letra,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3535,3523,Certidão ou atestado ideologicamente falso ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3536,3523,Falsidade material de atestado ou certidão ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3537,3523,Falsidade de atestado médico ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3538,3523,Reprodução ou adulteração de selo ou peça filatélica ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3539,3523,Uso de documento falso ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3540,3523,Supressão de documento ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3541,3523,"Falsificação do sinal empregado no contraste de metal precioso ou na fiscalização alfandegária, ou para outros fins ",,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3542,3523,Falsa identidade ,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3543,3523,Fraude de lei sobre estrangeiros,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3545,3523,Petrechos de Falsificação de Papéis Públicos,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3546,3523,Adulteração de Sinal Identificador de Veículo Automotor,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
3547,287,Crimes Praticados por Funcionários Públicos Contra a Administração em Geral,X,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3548,3547,Peculato,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3550,3547,Peculato mediante erro de outrem,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3551,3547,"Extravio, sonegação ou inutilização de livro ou documento ",,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3552,3547,Emprego irregular de verbas ou rendas públicas ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3553,3547,Concussão ,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3554,3547,Excesso de exação ,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3555,3547,Corrupção passiva ,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3556,3547,Facilitação de contrabando ou descaminho ,,,,,,X,,X,X,,,,,X,X,X,X,,,,X,X,
3557,3547,Prevaricação,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3558,3547,Condescendência criminosa,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
3559,3547,Advocacia administrativa ,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
