Código,Cód. Pai,nome,JMU1
163,3,Não-Recebimento,X
804,163,Recurso,X
12300,3,Nomeação,X
12301,12300,Advogado Voluntário,X
12302,12300,Curador,X
12303,12300,Defensor Dativo,X
12304,12300,Intérprete/Tradutor,X
12305,12300,Outros auxiliares de justiça,X
12306,12300,Perito,X
12164,3,Outras Decisões,X
15223,3,Prejudicado o Pedido,X
12299,3,Prorrogação de cumprimento de pena/medida de segurança,X
15510,3,Prorrogação de Medida de Proteção da Lei 13.431/2017,X
14733,3,Prorrogação de Medida Protetiva,X
15490,3,Prorrogação de Medida Protetiva da Lei Maria da Penha,X
160,3,Recebimento,X
388,160,Aditamento da denúncia,X
391,160,Denúncia,X
1060,160,Recurso,X
394,1060,Com efeito suspensivo,X
1059,1060,Sem efeito suspensivo,X
138,3,Rejeição,X
399,138,Aditamento da denúncia,X
400,138,Aditamento da queixa,X
402,138,Denúncia,X
373,138,Exceção de Impedimento ou Suspeição,X
374,138,Exceção de incompetência,X
404,138,Queixa,X
12141,3,Relaxamento do Flagrante,X
157,3,Revogação,X
945,157,Decisão anterior,X
12145,157,Detração/Remição,X
349,157,Gratuidade de Justiça,X
348,157,Liminar,X
1004,157,Livramento Condicional,X
14683,157,Medida Cautelar Diversa da Prisão,X
15509,157,Medida de Proteção da Lei 13.431/2017,X
11426,157,Medida protetiva,X
15489,157,Medida Protetiva da Lei Maria da Penha,X
128,157,Prisão,X
12737,157,Revogação da Suspensão Condicional do Processo,X
15025,157,Revogação da Transação Penal,X
12734,157,Revogação do Acordo de Não Persecução Penal,X
1016,157,Suspensão Condicional da Pena,X
347,157,Tutela Provisória,X
961,3,Suscitação de Conflito de Competência,X
25,3,Suspensão ou Sobrestamento,X
272,25,"A depender do julgamento de outra causa, de outro juízo ou declaração incidente",X
15425,25,Aguardando Apresentação ou Captura de Desertor,X
275,25,Força maior,X
12098,25,Incidente de Resolução de Demandas Repetitivas ,X
268,25,Morte ou perda da capacidade,X
14971,25,Por Ação de Controle Concentrado de Constitucionalidade,X
898,25,Por decisão judicial,X
15247,25,Por Expedição de Precatório,X
15248,25,Por Expedição de RPV,X
14969,25,Por Grupo de Representativos,X
14968,25,Por Incidente de Assunção de Competência - IAC,X
263,25,Réu revel citado por edital ,X
264,25,Suspensão Condicional do Processo,X
12736,3,Unificação de Processos de Execução,X
12144,3,Unificação e Soma de Penas,X
11009,1,Despacho,X
11023,11009,Concessão,X
11024,11023,Assistência Judiciária Gratuita,X
11021,11009,Conversão,X
11022,11021,Julgamento em Diligência,X
15216,11009,Determinação de Citação,X
12068,11009,Levantamento da Suspensão ou Dessobrestamento,X
11010,11009,Mero expediente,X
11019,11009,Ordenação de entrega de autos,X
12310,11009,Pauta,X
12311,12310,Pedido de inclusão,X
12313,12310,Pedido de Inclusão em Pauta de Sessão Virtual,X
12314,12310,Pedido de Retirada de Pauta de Sessão Virtual,X
12312,12310,Retirar pedido de inclusão,X
11020,11009,Requisição de Informações,X
11025,11009,Suspensão ou Sobrestamento,X
11012,11025,Conflito de Competência,X
11015,11025,"Exceção de Incompetência, suspeição ou Impedimento",X
15238,11025,Homologação de Acordo ou Transação,X
11017,11025,Incidente de Insanidade Mental,X
15009,11025,Por Impedimento ou Suspeição,X
193,1,Julgamento,X
385,193,Com Resolução do Mérito,X
11876,385,Absolvição Sumária do art. 397-CPP,X
210,385,Concessão,X
443,210,Habeas corpus,X
12475,210,Habeas Corpus de ofício,X
214,385,Concessão em Parte,X
451,214,Habeas corpus,X
450,214,Segurança,X
900,385,Declaração de competência em conflito,X
212,385,Denegação,X
447,212,Habeas corpus,X
446,212,Segurança,X
973,385,Extinção da Punibilidade ou da Pena,X
1043,973,"Anistia, graça ou indulto",X
1050,973,Cumprimento da Pena,X
11411,973,Cumprimento da suspensão condicional do processo,X
12735,973,Cumprimento de ANPP,X
12028,973,Cumprimento de transação penal,X
11879,973,Decadência ou perempção,X
15322,973,Extinção da Pena - Cumprimento de Sursis,X
1042,973,Morte do agente,X
1048,973,Perdão judicial,X
11878,973,Prescrição,X
1045,973,"Prescrição, decadência ou perempção",X
11801,973,Reparação do dano,X
1047,973,Retratação do agente,X
1044,973,Retroatividade de lei,X
14099,385,Homologação de Acordo em Execução ou em Cumprimento de Sentença,X
12738,385,Homologação de Transação Penal,X
220,385,Improcedência,X
219,385,Procedência,X
221,385,Procedência em Parte,X
471,385,Pronúncia de Decadência ou Prescrição,X
218,193,Sem Resolução de Mérito,X
11373,218,Anulação de sentença/acórdão,X
456,218,Extinção,X
461,456,Ausência das condições da ação,X
459,456,Ausência de pressupostos processuais,X
454,456,Indeferimento da petição inicial,X
12325,456,Perda do objeto,X
460,456,"Perempção, litispendência ou coisa julgada",X
15408,218,Não Conhecimento de Embargos de Declaração,X
14,,Serventuário ,X
865,14,Arquivista,X
870,865,Autos Eliminados,X
866,865,Guarda Intermediária,X
867,865,Guarda Permanente,X
977,865,Recebimento,X
978,865,Remessa,X
18,14,Distribuidor,X
12297,18,Atribuição de competência,X
22,18,Baixa Definitiva,X
488,18,Cancelamento de Distribuição,X
26,18,Distribuição,X
981,18,Recebimento,X
36,18,Redistribuição,X
12296,18,Registro Processual,X
982,18,Remessa,X
48,14,Escrivão/Diretor de Secretaria/Secretário Jurídico,X
135,48,Apensamento,X
861,48,Arquivamento,X
14997,861,Arquivamento Provisório - Aguardando Captura de Réu Condenado,X
246,861,Definitivo,X
12292,48,Ato cumprido pela parte ou interessado,X
12293,12292,Ato cumprido pela parte ou interessado (sem atributo),X
12294,12292,Comparecimento do Réu/Apenado,X
12295,12292,Depósito de Bens/Dinheiro,X
11383,48,Ato ordinatório,X
970,48,Audiência,X
12739,970,Admonitória,X
15427,970,Audiência de Admoestação,X
15188,970,Audiência de Depoimento Especial,X
12742,970,de Custódia,X
12749,970,de Instrução,X
12750,970,de Instrução e Julgamento,X
12743,970,de Interrogatório,X
12751,970,de Julgamento,X
12744,970,de Justificação,X
12746,970,em Execução,X
12260,48,Autos restaurados,X
1052,48,Bens Apreendidos,X
1055,1052,Cadastramento,X
1053,1052,Destinação,X
1054,1052,Destinação Parcial,X
12289,48,Cancelamento,X
12290,12289,Documento Expedido,X
12291,12289,Movimentação processual,X
12186,48,Cancelamento de Distribuição,X
12284,48,Citação,X
12286,12284,Eletrônica,X
12288,12286,Confirmada,X
12287,12286,Expedida/Certificada,X
15246,12286,Não Confirmada,X
12285,12284,Em Secretaria/Comparecimento Espontâneo,X
12281,48,Comunicação eletrônica,X
12283,12281,Confirmada,X
14961,12281,Erro ou Recusa na Comunicação,X
12282,12281,Expedida/Certificada,X
51,48,Conclusão,X
14732,48,Conversão de Autos Físicos em Eletrônicos,X
15186,48,Cooperação Judiciária,X
12276,48,Cumprimento da pena,X
12278,12276,Fim,X
12277,12276,Início,X
12280,12276,Interrupção,X
12066,48,Cumprimento de Levantamento da Suspensão ,X
12065,48,Cumprimento de Suspensão ou Sobrestamento,X
1051,48,Decurso de Prazo,X
873,48,Deliberação em Sessão,X
12198,48,Deliberado em Sessão,X
12199,12198,Julgado,X
12202,12199,Questão de Ordem,X
137,48,Desapensamento,X
893,48,Desarquivamento,X
12269,48,Desentranhamento,X
12270,12269,Documento,X
12271,12269,Petição,X
11008,48,Desmembramento de Feitos,X
1061,48,Disponibilização no Diário da Justiça Eletrônico,X
12189,48,Entrega de Documento,X
493,48,Entrega em carga/vista,X
14739,48,Evolução da Classe Processual,X
14737,48,Exclusão do Juízo 100% Digital,X
60,48,Expedição de documento,X
15000,48,Finalizada Tramitação Direta entre MP e Autoridade Policial,X
12101,48,Inclusão do processo para julgamento eletrônico,X
14736,48,Inclusão no Juízo 100% Digital,X
14999,48,Iniciada Tramitação Direta entre MP e Autoridade Policial,X
12263,48,Intimação,X
12264,12263,Eletrônica,X
12266,12264,Confirmada,X
12265,12264,Expedida/certificada,X
12267,12263,Em audiência,X
12268,12263,Em Secretaria,X
67,48,Juntada,X
581,67,Documento,X
85,67,Petição,X
311,48,Leilão ou Praça,X
14974,48,Levantamento da Causa Suspensiva ou de Sobrestamento,X
14982,14974,Suspensão/Sobrestamento Determinada por Ação de Controle Concentrado de Constitucionalidade - STF,X
14977,14974,Suspensão/Sobrestamento Determinada por Decisão do Presidente do STF - SIRDR,X
14980,14974,Suspensão/Sobrestamento Determinada por Grupo de Representativos,X
14979,14974,Suspensão/Sobrestamento Determinada por Incidente de Assunção de Competência - IAC,X
14985,14974,Suspensão/Sobrestamento por Incidente de Resolução de Demandas Repetitivas,X
14975,14974,Suspensão/Sobrestamento por Recurso Extraordinário com Repercussão Geral,X
15417,48,Migração de Sistema Eletrônico,X
12143,48,Mudança de Assunto Processual,X
12103,48,Pauta,X
12106,12103,Adiamento do Julgamento para a Primeira Sessão Seguinte,X
12104,12103,Inclusão em pauta,X
12115,12104,Para Julgamento,X
12309,12103,Retirada,X
14901,48,Perícia,X
14904,14901,Agendada,X
14906,14901,Cancelada,X
14903,14901,Determinada/Designada,X
14908,14901,Não Realizada,X
14907,14901,Reagendada,X
14905,14901,Realizada,X
118,48,Protocolo de Petição,X
92,48,Publicação,X
12759,48,Realização de Procedimento Restaurativo,X
849,48,Reativação,X
132,48,Recebimento,X
1062,48,Redisponibilização no Diário da Justiça Eletrônico,X
123,48,Remessa,X
928,48,Republicação,X
12165,48,Requisição de Pagamento,X
12173,12165,Pequeno Valor,X
12177,12173,Cancelada,X
12174,12173,Enviada ao Tribunal,X
12176,12173,Paga,X
12175,12173,Preparada para Envio,X
12178,12173,Retificada,X
12179,12173,Suspensão,X
12166,12165,Precatório,X
12170,12166,Cancelada,X
12167,12166,Enviada ao Tribunal,X
12168,12166,Preparada para Envio,X
12171,12166,Retificado,X
12172,12166,Suspensão,X
14738,48,Retificação de Classe Processual,X
11983,48,Retificação de movimento,X
848,48,Trânsito em julgado,X
104,14,Oficial de Justiça,X
105,104,Devolução,X
106,105,Mandado,X
112,105,Ofício,X
115,104,Recebimento,X
985,115,Mandado,X
987,115,Ofício,X
