Código,Cód. Pai,nome,CJF
15021,12198,Destaque para Julgamento Presencial,X
12199,12198,Julgado,X
12201,12199,Liminar,X
12200,12199,Mérito,X
12202,12199,Questão de Ordem,X
12204,12198,Pedido de Vista,X
12275,12198,Retificado,X
12274,12198,Sobrestado,X
137,48,Desapensamento,X
12269,48,Desentranhamento,X
12270,12269,Documento,X
12271,12269,Petição,X
11008,48,Desmembramento de Feitos,X
14091,48,Devolvidos os autos após Pedido de Vista,X
1061,48,Disponibilização no Diário da Justiça Eletrônico,X
12189,48,Entrega de Documento,X
493,48,Entrega em carga/vista,X
14739,48,Evolução da Classe Processual,X
14737,48,Exclusão do Juízo 100% Digital,X
60,48,Expedição de documento,X
12101,48,Inclusão do processo para julgamento eletrônico,X
14736,48,Inclusão no Juízo 100% Digital,X
12263,48,Intimação,X
12264,12263,Eletrônica,X
12266,12264,Confirmada,X
12265,12264,Expedida/certificada,X
12267,12263,Em audiência,X
12268,12263,Em Secretaria,X
67,48,Juntada,X
581,67,Documento,X
85,67,Petição,X
15417,48,Migração de Sistema Eletrônico,X
12143,48,Mudança de Assunto Processual,X
12142,48,Mudança de Parte,X
12103,48,Pauta,X
12106,12103,Adiamento do Julgamento para a Primeira Sessão Seguinte,X
12104,12103,Inclusão em pauta,X
12115,12104,Para Julgamento,X
12105,12103,Inclusão em Pauta de Sessão Virtual,X
12309,12103,Retirada,X
14901,48,Perícia,X
14904,14901,Agendada,X
14906,14901,Cancelada,X
14903,14901,Determinada/Designada,X
14908,14901,Não Realizada,X
14907,14901,Reagendada,X
14905,14901,Realizada,X
118,48,Protocolo de Petição,X
92,48,Publicação,X
12759,48,Realização de Procedimento Restaurativo,X
849,48,Reativação,X
132,48,Recebimento,X
123,48,Remessa,X
928,48,Republicação,X
12165,48,Requisição de Pagamento,X
12173,12165,Pequeno Valor,X
12177,12173,Cancelada,X
12174,12173,Enviada ao Tribunal,X
12175,12173,Preparada para Envio,X
12178,12173,Retificada,X
12179,12173,Suspensão,X
12166,12165,Precatório,X
12170,12166,Cancelada,X
12167,12166,Enviada ao Tribunal,X
12169,12166,Paga,X
12168,12166,Preparada para Envio,X
12171,12166,Retificado,X
12172,12166,Suspensão,X
14738,48,Retificação de Classe Processual,X
11983,48,Retificação de movimento,X
897,48,Retirada de pauta,X
848,48,Trânsito em julgado,X
104,14,Oficial de Justiça,X
105,104,Devolução,X
106,105,Mandado,X
112,105,Ofício,X
115,104,Recebimento,X
985,115,Mandado,X
987,115,Ofício,X
