Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JETR
10005,9998,,,2008-09-30 15:52:00,,,,Registro de Empresa,X
10370,9985,,,2008-09-30 15:52:00,,,,Concurso Público / Edital,X
10382,10370,Lei 8112/90,arts. 10 a 15,2008-09-30 15:52:00,,,,Anulação,X
10379,10370,8.112/90,arts. 10 a 15,2008-09-30 15:52:00,,,,Anulação e Correção de Provas / Questões,X
10381,10370,CF,"37, IV",2008-09-30 15:52:00,,,,Classificação e/ou Preterição,X
10384,10370,Lei 8112/90,arts. 10 a 15,2008-09-30 15:52:00,,,,Condições Especiais para Prestação de Prova,X
10377,10370,Lei 8112/90,arts. 10 a 15,2008-09-30 15:52:00,,,,Curso de Formação,X
10380,10370,Lei 8112/90,"art. 5º, IV",2008-09-30 15:52:00,,,,Escolaridade,X
10376,10370,Lei 8112/90,"art. 5º, IVI, art. 14",2008-09-30 15:52:00,,,,Exame de Saúde e/ou Aptidão Física,X
10378,10370,,,2008-09-30 15:52:00,,,,Exame Psicotécnico / Psiquiátrico,X
10374,10370,CF,"Art. 93, I; 129, § 3º",2008-09-30 15:52:00,,,,Exigência de Prática Forense,X
10372,10370,Lei 8112/90,,2008-09-30 15:52:00,,,,Inscrição / Documentação,X
10373,10370,Lei 8112/90,"art. 5º, V",2008-09-30 15:52:00,,,,Limite de Idade,X
10383,10370,"CFCF, Lei 8112/90","CF, art. 37, III; Lei 8112/90, art. 12",2008-09-30 15:52:00,,,,Prazo de Validade,X
10375,10370,CF,"37, II",2008-09-30 15:52:00,,,,Prova de Títulos,X
10371,10370,"CF, Lei 8112/90","CF, art. 37, VIII; Lei 8112/90, art. 5º, § 2º",2008-09-30 15:52:00,2022-11-29 15:41:00,,,Reserva de Vagas para Pessoas com Deficiência,X
10421,9985,,,2008-09-30 15:52:00,,,,Contratos Administrativos,X
10423,10421,Lei 8.666/93,59,2008-09-30 15:52:00,,,,Anulação,X
10430,10421,Lei 8.666/93,"art. 57, § 1º, I a II, art. 58, § 2º",2008-09-30 15:52:00,,,,Equilíbrio Financeiro,X
10429,10421,Lei 8.666/93,arts.66 a 76,2008-09-30 15:52:00,,,,Execução Contratual,X
10422,10421,Lei 8.666/93,"art. 78, XV",2008-09-30 15:52:00,,,,Pagamento Atrasado / Correção Monetária,X
10428,10421,Lei 8.666/93,"arts. 80 a 83, 86 a 88.",2008-09-30 15:52:00,,,,Penalidades,X
10426,10421,Lei 8.666/93,"art. 57, §§ 1º, 2º, 4º",2008-09-30 15:52:00,,,,Prorrogação,X
10425,10421,Lei 8.666/93,"art. 58, II, art.78 a 79",2008-09-30 15:52:00,,,,Rescisão,X
10424,10421,Lei 8.666/93,"art. 78, XIV, XV",2008-09-30 15:52:00,,,,Suspensão,X
10427,10421,Lei 8.666/93,"arts. 60, 65, § 6º",2008-09-30 15:52:00,,,,Termo Aditivo,X
10394,9985,,,2008-09-30 15:52:00,,,,Dívida Ativa não-tributária,X
10402,10394,Lei 10406/02,art. 286 a 298,2008-09-30 15:52:00,,,,Cessão de créditos não-tributários,X
10401,10394,Lei 4320/64,"Art. 39, § 2º",2008-09-30 15:52:00,,,,Taxa de Ocupação / Laudêmio / Foro,X
10182,9985,,,2008-09-30 15:52:00,,,,Dívida Pública Mobiliária,X
10183,10182,DL 263/67,art. 1º a 11,2008-09-30 15:52:00,,,,Apólices da Dívida Pública,X
10184,10182,LC 101/2000,"Arts. 29, II, 34, 36, pár. Único, 39, §4º, 43, § 2º, I",2008-09-30 15:52:00,,,,Títulos da Dívida Pública,X
10088,9985,,,2008-09-30 15:52:00,,,,Domínio Público,X
10109,10088,L 10.257/2001,39,2008-09-30 15:52:00,,,,Ordenação da Cidade / Plano Diretor,X
10108,10088,CF,216,2008-09-30 15:52:00,,,,Patrimônio Histórico / Tombamento,X
10131,10088,Lei 9491/97; leis estaduais,art. 1º e segs.,2008-09-30 15:52:00,,,,Privatização,X
10106,10088,Dl 227/1967,,2008-09-30 15:52:00,,,,Recursos Minerais,X
10409,9985,CF,37,2008-09-30 15:52:00,,,,Empregado Público / Temporário,X
10411,10409,CF,37,2008-09-30 15:52:00,,,,Admissão / Permanência / Despedida,X
10410,10409,Lei 8745/93 e Lei 9849/99,arts. 1º e segs.,2008-09-30 15:52:00,,,,Contrato Temporário de Mão de Obra L 8.745/1993,X
9986,9985,,,2008-09-30 15:52:00,,,,Garantias Constitucionais,X
15184,9986,Constituição Federal,"5º, XIV",2022-11-25 16:26:00,,,,Direito de Acesso à Informação,X
9990,9986,CF,34,2008-09-30 15:52:00,,,,Intervenção em Estado / Município,X
14130,9986,Constituição Federal,,2021-01-18 00:00:00,,,,Sistema Prisional,X
10120,9985,,,2008-09-30 15:52:00,,,,Intervenção do Estado na Propriedade,X
10133,10120,L 10.257/2001 Estatuto das Cidades,25 a 27,2008-09-30 15:52:00,,,,Direito de Preempção,X
10130,10120,CF,"170, III",2008-09-30 15:52:00,,,,Limitação Administrativa,X
10129,10120,DL 3365/41,35,2008-09-30 15:52:00,,,,Ocupação Temporária,X
10135,10120,CF1988,"5º, XXV",2008-09-30 15:52:00,,,,Requisição de Bem Particular,X
10132,10120,,,2008-09-30 15:52:00,,,,Restituição de área,X
10128,10120,DL 3365/41,art. 40,2008-09-30 15:52:00,,,,Servidão Administrativa,X
10127,10120,DL 3365/41,art. 7º,2008-09-30 15:52:00,,,,Vistoria,X
14202,9985,"Lei 13,709/2018",1º,2021-01-20 00:00:00,,,,Lei Geral de Proteção de Dados (LGPD),X
14204,14202,Lei 13.709/2018,1º,2021-01-20 00:00:00,,,,Privacidade,X
14203,14202,Lei 13.709/2018,1º,2021-01-20 00:00:00,,,,Proteção de Dados Pessoais,X
10385,9985,L 8.666/1993,,2008-09-30 15:52:00,,,,Licitações ,X
10393,10385,Lei 8666/93,"art. 43, VI",2008-09-30 15:52:00,,,,Adjudicação,X
10392,10385,L 8.666/1993,"24, XXVI; 116 e segs.",2008-09-30 15:52:00,,,,Convênio,X
14131,10385,Lei 8.666/1993,24,2021-01-18 00:00:00,,,,Dispensa,X
10388,10385,Lei 8.666/93,21,2008-09-30 15:52:00,,,,Edital,X
10387,10385,L 8.666/1993,art. 27 a 53,2008-09-30 15:52:00,,,,Habilitação / Registro Cadastral / Julgamento / Homologação,X
14132,10385,Lei 8.666/1993,25,2021-01-18 00:00:00,,,,Inexigibilidade,X
10386,10385,Lei 8.666/93,art. 20 a 26,2008-09-30 15:52:00,2021-01-18 10:11:00,,,Modalidade / Limite,X
14133,10386,Lei 8.666/1993,"22, I",2021-01-18 00:00:00,,,,Concorrência,X
14136,10386,Lei 8.666/1993,"22, IV",2021-01-18 00:00:00,,,,Concurso,X
14135,10386,Lei 8.666/1993,"22, III",2021-01-18 00:00:00,,,,Convite,X
14137,10386,Lei 8.666/1993,"22, V",2021-01-18 00:00:00,,,,Leilão,X
14138,10386,Lei 10.520/2002,1 e seguintes,2021-01-18 00:00:00,,,,Pregão,X
14140,14138,Decreto 5.450/2005,1 e seguintes,2021-01-18 00:00:00,,,,Eletrônico,X
14139,14138,Lei 10.520/2002,1 e seguintes,2021-01-18 00:00:00,,,,Presencial,X
14134,10386,Lei 8.666/1993,"22, II",2021-01-18 00:00:00,,,,Tomada de Preço,X
10391,10385,Lei 8.666/93,109,2008-09-30 15:52:00,,,,Recursos Administrativos,X
10389,10385,Lei 8.666/93,49,2008-09-30 15:52:00,,,,Revogação,X
10390,10385,Lei 8.666/93,art. 86 a 88,2008-09-30 15:52:00,,,,Sanções Administrativas,X
10324,9985,,,2008-09-30 15:52:00,,,,Militar,X
10359,10324,,,2008-09-30 15:52:00,,,,Pensão,X
10360,10359,Lei 3.765/60; Lei 6880/80,Art. 7º ; Art. 71,2008-09-30 15:52:00,,,,Concessão,X
10362,10359,Lei 3.765/60,art. 1º a 24,2008-09-30 15:52:00,,,,Provisória,X
10361,10359,Lei 6.880/80.,art. 71,2008-09-30 15:52:00,,,,Restabelecimento,X
10325,10324,,,2008-09-30 15:52:00,,,,Regime,X
10331,10325,CR1988; L 6.880/1980,"14, § 8º, II, 142, § 3º, III; 81 e 82",2008-09-30 15:52:00,,,,"Adidos, Agregados e Adjuntos",X
10336,10325,Lei 6880/80,art. 10 a 13,2008-09-30 15:52:00,,,,Corpo Feminino,X
10327,10325,Lei 6880/80,art. 114,2008-09-30 15:52:00,,,,Curso de Formação,X
10329,10325,Lei 6.880/80,"50, IV, a",2008-09-30 15:52:00,,,,Estabilidade,X
10326,10325,L 6.880/1980,10 a 13,2008-09-30 15:52:00,,,,Ingresso e Concurso,X
10334,10325,Lei 6.880/80,"50, inciso IV, alínea ""m"" ; 59 a 62",2008-09-30 15:52:00,,,,Promoção,X
10328,10325,Lei 6880/80; CF,"art. 112; art 125, §4º",2008-09-30 15:52:00,,,,Reintegração,X
10335,10325,L 5.292/1967,art. 4º,2008-09-30 15:52:00,,,,Serviço Militar dos Profissionais da Saúde,X
10337,10324,,,2008-09-30 15:52:00,,,,Sistema Remuneratório e Benefícios,X
10351,10337,Lei 6880 de 1980,80 a 85,2008-09-30 15:52:00,,,,Agregação,X
10356,10337,Lei 6880 de 1980,"50, IV, ""e""",2008-09-30 15:52:00,,,,Assistência Médico-Hospitalar,X
14141,10337,Lei 8.112/1990,45 e 46,2021-01-18 00:00:00,,,,Descontos Indevidos,X
10339,10337,Lei 6.880/80,"Art. 50, inc. IV, ""o""",2008-09-30 15:52:00,,,,Férias,X
10338,10337,L 6.880/1980,53,2008-09-30 15:52:00,,,,Gratificações e Adicionais,X
10340,10337,L 6.880/1980,"53, I, a",2008-09-30 15:52:00,,,,Indenizações Regulares,X
14144,10340,Lei 8.237/1991 e Leis Estaduais que tratam de ajuda de custo a militares estaduais,34 e 38 (Lei 8.237/1991),2021-01-18 00:00:00,,,,Ajuda de Custo,X
10357,10337,Lei 6880/80,art. 68,2008-09-30 15:52:00,,,,Licença Prêmio,X
10350,10337,Lei 6.880/80,67 a 70,2008-09-30 15:52:00,,,,Licenças,X
10358,10337,Lei 6.880/80,121 a 123,2008-09-30 15:52:00,,,,Licenciamento,X
10349,10337,Lei 6.880/80,104 a 114,2008-09-30 15:52:00,,,,Reforma,X
10352,10337,Lei 6880 de 1980,96 e 97,2008-09-30 15:52:00,,,,Reserva Remunerada,X
14146,10337,Lei 8.162/1991,"46, caput",2021-01-18 00:00:00,,,,Restituição ao Erário,X
14147,14146,CPC,"297, Parágrafo único, 520, I e II, e 302",2021-01-18 00:00:00,,,,Valores Antecipados na Tutela Revogada/Cassada,X
10354,10337,Lei 6880 de 1980,134 a 143,2008-09-30 15:52:00,,,,Tempo de Serviço,X
10353,10337,Lei 6880 de 1980,"96, II",2008-09-30 15:52:00,,,,Transferência ex-officio para reserva,X
10355,10337,Lei 6880 de 1980,96 e 97,2008-09-30 15:52:00,,,,Transferência para reserva,X
9991,9985,L 8.666/1993,,2008-09-30 15:52:00,,,,Responsabilidade da Administração,X
10502,9991,CF,"Art. 37, § 6º",2008-09-30 15:52:00,,,,Indenização por Dano Material,X
10504,10502,CF; Lei 10406/02,"CF, art. 37, § 6º; Lei 10.406/02, art.927",2008-09-30 15:52:00,,,,Acidente de Trânsito,X
14148,10502,CF,"37, § 6º",2021-01-18 00:00:00,,,,Acidentes,X
14149,14148,CF,"37, § 6º",2021-01-18 00:00:00,,,,Exposição a Substâncias Tóxicas - Dicloro-Difenil-Tricloroetano (DDT/Mercúrio/Outras),X
14166,10502,CF,"37, § 6º",2021-01-18 00:00:00,,,,Ausência/Deficiência de Fiscalização,X
14150,10502,CF,"37, § 6º",2021-01-18 00:00:00,,,,Concurso Público - Nomeação/Posse Tardia,X
14154,10502,CF,"Art. 37, §6º - Súmula 388/STJ",2021-01-18 00:00:00,,,,Devolução de Cheques,X
14155,10502,CF,"37, § 6º",2021-01-18 00:00:00,2021-01-29 13:47:00,,,Inscrição em Cadastro Restrito de Crédito,X
14159,10502,CF,"37, § 6º",2021-01-18 00:00:00,,,,Política Pública de Preços,X
14156,10502,CF,"37, § 6º",2021-01-18 00:00:00,,,,Protesto Indevido de Títulos,X
14157,10502,CF/Lei 8.078/1990,"Art. 37, § º6 (CF)/ Art. 51 (Lei 8.078/1990)",2021-01-18 00:00:00,,,,Roubo/Leilão Indevido de Bem Empenhado,X
14158,10502,CF,"37, § 6º",2021-01-18 00:00:00,,,,Saque Fraudulento,X
14161,10502,CF,"37, § 6º e 231",2021-01-18 00:00:00,,,,Tráfego de Veículo com Excesso de Peso,X
10505,10502,,,2008-09-30 15:52:00,,,,Variação Cambial,X
9992,9991,CF,"art. 5º, V, X",2008-09-30 15:52:00,,,,Indenização por Dano Moral,X
9996,9992,CF,"art. 5º, V, X",2008-09-30 15:52:00,,,,Acidente de Trânsito,X
14162,9992,CF,"37, § 6º",2021-01-18 00:00:00,,,,Acidentes,X
14175,9992,CF,"37, § 6º",2021-01-18 00:00:00,,,,Assédio Moral,X
14165,9992,CF,"37, § 6º",2021-01-18 00:00:00,,,,Concurso Público - Nomeação/Posse Tardia,X
14168,9992,CF,"37, § 6º; Súmula 388/STJ",2021-01-18 00:00:00,,,,Devolução de Cheques,X
14169,9992,CF,"37, § 6º",2021-01-18 00:00:00,,,,Inscrição em Cadastro Restritivo de Crédito,X
14173,9992,CF; Lei 4.870/1965,"37, § 6º",2021-01-18 00:00:00,,,,Política Pública de Preços,X
14909,9992,CF,"5º, LXXV e 37, § 6º",2021-09-30 00:00:00,,,,Prisão Ilegal,X
14170,9992,CF,"37, § 6º",2021-01-18 00:00:00,,,,Protesto Indevido de Títulos,X
9995,9992,CF,"art. 5º, V, X",2008-09-30 15:52:00,2023-09-27 16:53:00,,,Serviços de Saúde,X
14174,9992,CF,"37, § 6º",2021-01-18 00:00:00,,,,Tráfego de Veículo com Excesso de Peso,X
10028,9985,,,2008-09-30 15:52:00,,,,Serviços,X
10073,10028,Leis 8666/93; 8987/95; 11079/04,,2008-09-30 15:52:00,,,,Concessão / Permissão / Autorização,X
10085,10073,,,2008-09-30 15:52:00,,,,Água e/ou Esgoto,X
10075,10073,Lei 8987/95,art. 1º a 40,2008-09-30 15:52:00,,,,Energia Elétrica,X
14176,10075,Portarias DNAEE 38/1986 e 45/1986,,2021-01-18 00:00:00,,,,Tarifa,X
10074,10073,Lei 8974/95,art. 1º a 40,2008-09-30 15:52:00,,,,Fornecimento de Gás,X
10086,10073,Lei 11.445/07,arts. 1º a 53,2008-09-30 15:52:00,,,,Recolhimento e Tratamento de Lixo,X
10083,10073,Lei 8935/94,art. 3º,2008-09-30 15:52:00,,,,"Tabelionatos, Registros, Cartórios",X
11928,10083,,,2012-06-06 00:00:00,,,,Cumulação,X
11927,10083,,,2012-06-06 00:00:00,,,,Desmembramento,X
11929,10083,,,2012-06-06 00:00:00,,,,Emolumentos,X
11930,10083,,,2012-06-06 00:00:00,,,,Fraude,X
11931,10083,,,2012-06-06 00:00:00,,,,Gratuidade,X
11932,10083,,,2012-06-06 00:00:00,,,,Princípio da Territorialidade,X
11933,10083,,,2012-06-06 00:00:00,,,,Provimento Irregular,X
11934,10083,,,2012-06-06 00:00:00,,,,Registro Civil de Nascimento,X
11935,10083,,,2012-06-06 00:00:00,,,,Registro de Imóveis,X
11926,10083,,,2012-06-06 00:00:00,,,,Remoção,X
11925,10083,,,2012-06-06 00:00:00,,,,Vacância,X
10081,10073,CF; Lei 9432/97,"CF, art. 21, XII, a; Lei 9432/97, arts. 1º a 15",2008-09-30 15:52:00,,,,Transporte Aquaviário,X
10076,10073,Decreto 1832/96,arts. 1º a 64,2008-09-30 15:52:00,,,,Transporte Terrestre,X
10087,10028,CF; LC 80/94; Lei 9020/95,"CF, art. 133 a 135",2008-09-30 15:52:00,,,,Defensoria Pública,X
10064,10028,CF,art. 196 a 200,2008-09-30 15:52:00,2019-07-04 16:35:00,,,Saúde,X
11884,10064,CF,196,2011-12-07 00:00:00,2019-07-04 16:36:00,,,Fornecimento de Medicamentos,X
11883,10064,CF,196,2011-12-07 00:00:00,2019-07-04 16:36:00,,,Tratamento Médico-Hospitalar,X
11885,11883,CF,96,2011-12-16 00:00:00,2019-07-04 16:36:00,,,Unidade de terapia intensiva (UTI) ou unidade de cuidados intensivos (UCI),X
10069,10064,CF,Art. 196,2008-09-30 15:52:00,2011-12-07 07:26:00,,,Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos,X
10219,9985,,,2008-09-30 15:52:00,,,,Servidor Público Civil,X
10254,10219,CF1988,40,2008-09-30 15:52:00,,,,Aposentadoria,X
10256,10254,L 8.112/1990,186 II e 187,2008-09-30 15:52:00,,,,Compulsória,X
10255,10254,L 8.112/1990,"186, I e § 1º.",2008-09-30 15:52:00,,,,Invalidez Permanente,X
14194,10255,CF; Lei 8.112/1990,"186, I e § 1º",2021-01-18 00:00:00,,,,Acidente em Serviço,X
14180,10255,CF; Lei 8.112/1990,"186, I e § 1º",2021-01-18 00:00:00,,,,Moléstia Profissional ou Doença Grave,X
10257,10254,L 8.112/1990,186 III,2008-09-30 15:52:00,,,,Voluntária,X
10287,10219,Lei 8112/90,19,2008-09-30 15:52:00,,,,Jornada de Trabalho,X
13186,10287,,,2020-11-04 00:00:00,,,,Horas Extras ,X
13209,10287,,,2020-11-04 00:00:00,,,,Intervalo ,X
15031,10287,Lei nº 8.112/1990,98,2022-03-23 00:00:00,,,,Jornada Especial,X
10258,10219,,,2008-09-30 15:52:00,,,,Licenças / Afastamentos,X
10273,10258,L 8.112/1990,84,2008-09-30 15:52:00,,,,Acompanhamento de Cônjuge ou Companheiro,X
10272,10258,L 8.112/1990,97 II,2008-09-30 15:52:00,,,,Alistamento / Serviço Eleitoral,X
10270,10258,L 8.112/1990,209,2008-09-30 15:52:00,,,,Amamentação,X
10267,10258,L 8.112/1990,81 IV,2008-09-30 15:52:00,,,,Atividade Política,X
10268,10258,L 8.112/1990,97 III a,2008-09-30 15:52:00,,,,Casamento,X
10259,10258,L 8.112/1990,102 VII c,2008-09-30 15:52:00,,,,Dirigente Sindical,X
10271,10258,L 8.112/1990,97 I,2008-09-30 15:52:00,,,,Doação de Sangue,X
10262,10258,L 8.112/1990,"81, I; 83",2008-09-30 15:52:00,,,,Doença em Pessoa da Família,X
10274,10258,L 8.112/1990,18,2008-09-30 15:52:00,,,,Exercício em Outro Município,X
10264,10258,L 8.112/1990,102 VIII a,2008-09-30 15:52:00,,,,Gestante / Adotante / Paternidade,X
10265,10258,L 8.112/1990,"81, VI; 91",2008-09-30 15:52:00,,,,Interesse Particular,X
10260,10258,L 8.112/190,"81, V; 87",2008-09-30 15:52:00,,,,Licença Capacitação (Aperfeiçoamento Profissional),X
10275,10258,L 8.112/1990,"185, I, f; 211 a 214",2008-09-30 15:52:00,,,,Licença por Acidente em Serviço,X
10261,10258,L 8.112/1990,81 V (revogado),2008-09-30 15:52:00,,,,Licença-Prêmio,X
10700,10261,,,2008-09-30 15:52:00,,,,Contagem em Dobro,X
10701,10261,,,2008-09-30 15:52:00,,,,Pagamento em Pecúnia,X
10269,10258,L 8.112/1990,"97, III, b",2008-09-30 15:52:00,,,,Luto,X
10266,10258,L 8.112/1990,"81, III",2008-09-30 15:52:00,,,,Serviço Militar,X
10263,10258,L 8.112/1990,"102, VIII, b",2008-09-30 15:52:00,,,,Tratamento da Própria Saúde,X
10250,10219,,,2008-09-30 15:52:00,,,,Pensão,X
10252,10250,Lei 8112/90,art. 215,2008-09-30 15:52:00,,,,Concessão,X
10251,10250,L 8.112/1990,221,2008-09-30 15:52:00,,,,Provisória,X
10253,10250,Lei 8112/90,arts. 215 a 225,2008-09-30 15:52:00,,,,Restabelecimento,X
14195,10253,Lei 8.112/1990,"217, IV e § 3º",2021-01-18 00:00:00,,,,Maioridade,X
13295,10250,,,2020-11-04 00:00:00,,,,Revisão ,X
10286,10219,Lei 9468/97,arts. 1º a 14,2008-09-30 15:52:00,,,,Programa de Desligamento Voluntário (PDV),X
10220,10219,CF,39,2008-09-30 15:52:00,,,,Regime Estatutário,X
10225,10220,CF; Lei 8.112/90,"CF, art. 37, XVI; Lei 8.112/90, art. 118 a 120",2008-09-30 15:52:00,,,,Acumulação de Cargos,X
14200,10225,CF; Lei 8.112/1990,"CF, art. 37, XVI; Lei 8.112/90, art. 118 a 120",2021-01-18 00:00:00,,,,Limite de Carga Horária - Jornada Semanal,X
14198,10225,CF; Lei 8.112/1990,"CF, art. 37, XVI; Lei 8.112/90, art. 118 a 120",2021-01-18 00:00:00,,,,Natureza do Cargo Acumulável,X
14199,10225,CF; Lei 8.112/1990,"CF, art. 37, XVI; Lei 8.112/90, art. 118 a 120",2021-01-18 00:00:00,,,,Regime de Dedicação Exclusiva,X
10231,10220,Lei 8.878/94,1º,2008-09-30 15:52:00,,,,Anistia Administrativa,X
11937,10220,,,2012-06-06 00:00:00,,,,Desvio de Função,X
10227,10220,CF,"37, VII",2008-09-30 15:52:00,,,,Direito de Greve,X
10234,10220,CF,41,2008-09-30 15:52:00,,,,Disponibilidade / Aproveitamento,X
10223,10220,Lei 8.112/90,243,2008-09-30 15:52:00,,,,Enquadramento,X
10222,10220,CF,41,2008-09-30 15:52:00,,,,Estabilidade,X
10238,10220,CF,41,2008-09-30 15:52:00,,,,Estágio Probatório,X
10241,10220,L 8.112/1990,"33 I,; 15 § 2º; 34",2008-09-30 15:52:00,2020-11-04 16:14:00,,,Exoneração ou Demissão,X
10235,10220,Lei 8112/90,"arts. 20, § 3º; 37, § 1º; 93, §7º",2008-09-30 15:52:00,,,,Lotação,X
10240,10220,Lei 8112/90,art. 13 a 20,2008-09-30 15:52:00,,,,Posse e Exercício,X
10236,10220,Lei 8112/90,art. 17,2008-09-30 15:52:00,,,,Promoção / Ascensão,X
14201,10236,Lei 10.855/04; Decreto 84.669/80,10 e 19,2021-01-18 00:00:00,,,,Progressão Funcional com Interstício de Doze Meses,X
10237,10220,Lei 8.112/90,24,2008-09-30 15:52:00,,,,Readaptação,X
10224,10220,L 8.112/1990,29,2008-09-30 15:52:00,,,,Recondução,X
10233,10220,L 8.112/1990,37,2008-09-30 15:52:00,,,,Redistribuição,X
10230,10220,CF; Lei 8.112/90,"CF, art. 40; Lei 8112/90, art. 183 e segs.",2008-09-30 15:52:00,,,,Regime Previdenciário,X
10226,10220,L 8.112/1990,28,2008-09-30 15:52:00,2020-11-04 16:15:00,,,Reintegração ou Readmissão,X
10229,10220,Lei 8.112/90,36,2008-09-30 15:52:00,,,,Remoção,X
10232,10220,L 8.112/1990,25 a 27,2008-09-30 15:52:00,,,,Reversão,X
10228,10220,Lei 8112/90,"arts. 8º, VI, 25, 27",2008-09-30 15:52:00,,,,Transferência,X
10288,10219,,,2008-09-30 15:52:00,,,,Sistema Remuneratório e Benefícios,X
10662,10288,CF,"Art. 40, § 19",2008-09-30 15:52:00,,,,Abono de Permanência,X
10294,10288,Lei 8112/90,Art. 78,2008-09-30 15:52:00,,,,Abono Pecuniário (Art. 78 Lei 8.112/1990),X
10638,10288,Lei 8112/90,art. 118,2008-09-30 15:52:00,,,,Acumulação de Proventos,X
10293,10288,Lei 8112/90,71,2008-09-30 15:52:00,,,,Adicional de Fronteira,X
10303,10288,Lei 8.112/90,"Art. 61, V; 73 e 74",2008-09-30 15:52:00,,,,Adicional de Horas Extras,X
10291,10288,Lei 8.112/90,"Arts. 61, IV; 68 e 69",2008-09-30 15:52:00,,,,Adicional de Insalubridade,X
10292,10288,Lei 8.112/90,"Arts. 61, IV; 68 e 69",2008-09-30 15:52:00,,,,Adicional de Periculosidade,X
10309,10288,,,2008-09-30 15:52:00,,,,Adicional de Produtividade,X
10308,10288,Lei 8.112/90,"61,VI e 75",2008-09-30 15:52:00,,,,Adicional de Serviço Noturno,X
10302,10288,L 8.112/1990,"61 III, 67 § único",2008-09-30 15:52:00,,,,Adicional por Tempo de Serviço,X
