Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JT2G
11920,10187,,,2012-06-06 00:00:00,,,,Eleição,X
11921,11920,,,2012-06-06 00:00:00,,,,Cargos de Direção,X
11922,11920,,,2012-06-06 00:00:00,,,,Órgão Especial,X
11914,10187,"Lei Complementar 35, de 1979",Art. 69,2012-06-06 00:00:00,,,,Licença,X
14065,10187,,,2020-11-18 00:00:00,2020-11-18 14:39:15,,,Permuta,X
13254,10187,,,2020-11-04 00:00:00,,,,Permuta ,X
11916,10187,,,2012-06-06 00:00:00,,,,Plantão Judiciário,X
10190,10187,LC 35,art. 42,2008-09-30 15:52:52,,,,Processo Disciplinar / Sindicância,X
10192,10187,"CF, LC 35","CF, art. 93, II, III, IV; LC 35, art.80",2008-09-30 15:52:52,,,,Promoção,X
10675,10187,"CF, LC 35","CF, art. 94; LC 35, art. 100",2008-09-30 15:52:52,,,,Quinto Constitucional,X
10193,10187,CF; LC 35,"CF, art. 93, VIII-A; LC 35, art. 81",2008-09-30 15:52:52,,,,Remoção,X
12379,10193,LC 35,"LC 35, art. 42, III",2018-11-12 00:00:00,,,,Remoção Compulsória,X
11918,10187,,,2012-06-06 00:00:00,,,,Substituição/Convocação em Tribunal,X
11919,10187,,,2012-06-06 00:00:00,,,,Violação Prerrogativa Advogado,X
13323,10187,,,2020-11-04 00:00:00,,,,Vitaliciamento ,X
9997,9985,,,2008-09-30 15:52:52,,,,Atos Administrativos,X
10894,9997,CF,"5º, LXIX",2008-09-30 15:52:52,,,,Abuso de Poder,X
10015,9997,,,2008-09-30 15:52:52,,,,Fiscalização,X
10928,10015,,,2008-09-30 15:52:52,,,,Competência do Órgão Fiscalizador,X
13111,10015,,,2020-11-04 00:00:00,,,,Conselhos Regionais de Fiscalização Profissional e Afins ,X
10019,10015,,,2008-09-30 15:52:52,,,,Segurança e Medicina do Trabalho,X
10011,9997,Lei 8.429/92,,2008-09-30 15:52:52,,,,Improbidade Administrativa,X
10012,10011,L 8.429/1992,10,2008-09-30 15:52:52,,,,Dano ao Erário,X
10013,10011,L 8.429/1992,9º,2008-09-30 15:52:52,,,,Enriquecimento ilícito,X
10014,10011,L 8.429/1992,11,2008-09-30 15:52:52,2022-03-23 13:07:55,,,Violação dos Princípios Administrativos,X
10022,9997,,,2008-09-30 15:52:52,,,,Infração Administrativa,X
10025,10022,,,2008-09-30 15:52:52,,,,Apreensão,X
10024,10022,,,2008-09-30 15:52:52,,,,Interdição,X
10023,10022,,,2008-09-30 15:52:52,,,,Multas e demais Sanções,X
10009,9997,,,2008-09-30 15:52:52,,,,Inquérito / Processo / Recurso Administrativo,X
9998,9997,,,2008-09-30 15:52:52,,,,Licenças,X
10006,9998,,,2008-09-30 15:52:52,,,,Funcionamento de Estabelecimentos Empresariais,X
10020,9997,NR 29; Portaria 53/97,,2008-09-30 15:52:52,,,,Registro de Trabalho Portuário/Órgão de Gestão de Mão-de-Obra,X
10370,9985,,,2008-09-30 15:52:52,,,,Concurso Público / Edital,X
10382,10370,Lei 8112/90,arts. 10 a 15,2008-09-30 15:52:52,,,,Anulação,X
10379,10370,8.112/90,arts. 10 a 15,2008-09-30 15:52:52,,,,Anulação e Correção de Provas / Questões,X
12959,10370,,,2020-11-04 00:00:00,,,,Cadastro Reserva ,X
10381,10370,CF,"37, IV",2008-09-30 15:52:52,,,,Classificação e/ou Preterição,X
11903,10370,,,2012-06-06 00:00:00,,,,Concurso para magistrado,X
10384,10370,Lei 8112/90,arts. 10 a 15,2008-09-30 15:52:52,,,,Condições Especiais para Prestação de Prova,X
10377,10370,Lei 8112/90,arts. 10 a 15,2008-09-30 15:52:52,,,,Curso de Formação,X
10380,10370,Lei 8112/90,"art. 5º, IV",2008-09-30 15:52:52,,,,Escolaridade,X
10376,10370,Lei 8112/90,"art. 5º, IVI, art. 14",2008-09-30 15:52:52,,,,Exame de Saúde e/ou Aptidão Física,X
10378,10370,,,2008-09-30 15:52:52,,,,Exame Psicotécnico / Psiquiátrico,X
10374,10370,CF,"Art. 93, I; 129, § 3º",2008-09-30 15:52:52,,,,Exigência de Prática Forense,X
10372,10370,Lei 8112/90,,2008-09-30 15:52:52,,,,Inscrição / Documentação,X
10373,10370,Lei 8112/90,"art. 5º, V",2008-09-30 15:52:52,,,,Limite de Idade,X
10383,10370,"CFCF, Lei 8112/90","CF, art. 37, III; Lei 8112/90, art. 12",2008-09-30 15:52:52,,,,Prazo de Validade,X
10375,10370,CF,"37, II",2008-09-30 15:52:52,,,,Prova de Títulos,X
10371,10370,"CF, Lei 8112/90","CF, art. 37, VIII; Lei 8112/90, art. 5º, § 2º",2008-09-30 15:52:52,2022-11-29 15:41:10,,,Reserva de Vagas para Pessoas com Deficiência,X
10421,9985,,,2008-09-30 15:52:52,,,,Contratos Administrativos,X
10423,10421,Lei 8.666/93,59,2008-09-30 15:52:52,,,,Anulação,X
10430,10421,Lei 8.666/93,"art. 57, § 1º, I a II, art. 58, § 2º",2008-09-30 15:52:52,,,,Equilíbrio Financeiro,X
10429,10421,Lei 8.666/93,arts.66 a 76,2008-09-30 15:52:52,,,,Execução Contratual,X
10422,10421,Lei 8.666/93,"art. 78, XV",2008-09-30 15:52:52,,,,Pagamento Atrasado / Correção Monetária,X
10428,10421,Lei 8.666/93,"arts. 80 a 83, 86 a 88.",2008-09-30 15:52:52,,,,Penalidades,X
10426,10421,Lei 8.666/93,"art. 57, §§ 1º, 2º, 4º",2008-09-30 15:52:52,,,,Prorrogação,X
10425,10421,Lei 8.666/93,"art. 58, II, art.78 a 79",2008-09-30 15:52:52,,,,Rescisão,X
10424,10421,Lei 8.666/93,"art. 78, XIV, XV",2008-09-30 15:52:52,,,,Suspensão,X
10427,10421,Lei 8.666/93,"arts. 60, 65, § 6º",2008-09-30 15:52:52,,,,Termo Aditivo,X
10645,9985,,,2008-09-30 15:52:52,,,,Controle de Constitucionalidade,X
10889,10645,,,2008-09-30 15:52:52,,,,Efeitos da Declaração de Inconstitucionalidade,X
10646,10645,,,2008-09-30 15:52:52,,,,Inconstitucionalidade Material,X
10394,9985,,,2008-09-30 15:52:52,,,,Dívida Ativa não-tributária,X
10402,10394,Lei 10406/02,art. 286 a 298,2008-09-30 15:52:52,,,,Cessão de créditos não-tributários,X
10395,10394,Lei 4320/64,"art. 39, §§ 3º e 4º",2008-09-30 15:52:52,,,,Multas e demais Sanções,X
10396,10395,,,2008-09-30 15:52:52,,,,Ambiental,X
10399,10395,,,2008-09-30 15:52:52,,,,Profissional,X
10400,10395,,,2008-09-30 15:52:52,,,,Segurança e/ou Medicina do Trabalho,X
10088,9985,,,2008-09-30 15:52:52,,,,Domínio Público,X
10089,10088,,,2008-09-30 15:52:52,,,,Bens Públicos,X
10096,10089,CPC,"art. 461, § 5º",2008-09-30 15:52:52,,,,Bloqueio de Valores de Contas Públicas,X
11870,10089,,,2011-10-05 00:00:00,,,,Utilização de bens públicos,X
10097,10088,,,2008-09-30 15:52:52,,,,Imóvel Funcional,X
10098,10097,,,2008-09-30 15:52:52,,,,Alienação,X
10099,10097,,,2008-09-30 15:52:52,,,,Ocupação,X
10100,10097,,,2008-09-30 15:52:52,,,,Reintegração de Posse,X
10101,10097,,,2008-09-30 15:52:52,,,,Taxa de Ocupação,X
10409,9985,CF,37,2008-09-30 15:52:52,,,,Empregado Público / Temporário,X
10411,10409,CF,37,2008-09-30 15:52:52,,,,Admissão / Permanência / Despedida,X
10410,10409,Lei 8745/93 e Lei 9849/99,arts. 1º e segs.,2008-09-30 15:52:52,,,,Contrato Temporário de Mão de Obra L 8.745/1993,X
9986,9985,,,2008-09-30 15:52:52,,,,Garantias Constitucionais,X
11848,9986,CRFB,"23, VIII; 200, VI; 208, VII; 212, § 4º e 227",2011-10-05 00:00:00,,,,Alimentação,X
9988,9986,,,2008-09-30 15:52:52,,,,Anistia Política,X
11847,9986,,,2011-10-05 00:00:00,2014-02-18 10:20:19,,,Assistência Social,X
11845,9986,,,2011-10-05 00:00:00,,,,Comunicação Social,X
11846,9986,,,2011-10-05 00:00:00,,,,Moradia,X
11849,9986,,,2011-10-05 00:00:00,,,,Não Discriminação,X
11842,9986,,,2011-10-05 00:00:00,,,,Pessoa Idosa,X
11843,9986,,,2011-10-05 00:00:00,,,,Pessoas com deficiência,X
10587,9986,,,2008-09-30 15:52:52,,,,Proteção da Intimidade e Sigilo de Dados,X
14202,9985,"Lei 13,709/2018",1º,2021-01-20 00:00:00,,,,Lei Geral de Proteção de Dados (LGPD),X
14204,14202,Lei 13.709/2018,1º,2021-01-20 00:00:00,,,,Privacidade,X
14203,14202,Lei 13.709/2018,1º,2021-01-20 00:00:00,,,,Proteção de Dados Pessoais,X
10385,9985,L 8.666/1993,,2008-09-30 15:52:52,,,,Licitações ,X
10393,10385,Lei 8666/93,"art. 43, VI",2008-09-30 15:52:52,,,,Adjudicação,X
10392,10385,L 8.666/1993,"24, XXVI; 116 e segs.",2008-09-30 15:52:52,,,,Convênio,X
10388,10385,Lei 8.666/93,21,2008-09-30 15:52:52,,,,Edital,X
10387,10385,L 8.666/1993,art. 27 a 53,2008-09-30 15:52:52,,,,Habilitação / Registro Cadastral / Julgamento / Homologação,X
10386,10385,Lei 8.666/93,art. 20 a 26,2008-09-30 15:52:52,2021-01-18 10:11:23,,,Modalidade / Limite,X
10391,10385,Lei 8.666/93,109,2008-09-30 15:52:52,,,,Recursos Administrativos,X
10389,10385,Lei 8.666/93,49,2008-09-30 15:52:52,,,,Revogação,X
10390,10385,Lei 8.666/93,art. 86 a 88,2008-09-30 15:52:52,,,,Sanções Administrativas,X
10324,9985,,,2008-09-30 15:52:52,,,,Militar,X
10337,10324,,,2008-09-30 15:52:52,,,,Sistema Remuneratório e Benefícios,X
14141,10337,Lei 8.112/1990,45 e 46,2021-01-18 00:00:00,,,,Descontos Indevidos,X
10954,9985,,,2008-09-30 15:52:52,,,,Orçamento,X
10958,10954,CF,"art. 165, § 8º",2008-09-30 15:52:52,,,,Crédito Suplementar,X
10955,10954,CF,art. 165 a 169,2008-09-30 15:52:52,,,,Criação de Dotação Orçamentária,X
10956,10954,CF,art. 168,2008-09-30 15:52:52,,,,Repasse de Duodécimos,X
10957,10954,CF,"art. 169, § 2º",2008-09-30 15:52:52,,,,Repasse de Verbas Públicas,X
10219,9985,,,2008-09-30 15:52:52,,,,Servidor Público Civil,X
10254,10219,CF1988,40,2008-09-30 15:52:52,,,,Aposentadoria,X
10256,10254,L 8.112/1990,186 II e 187,2008-09-30 15:52:52,,,,Compulsória,X
10878,10254,CF,"art. 40, § 4º e § 5º",2008-09-30 15:52:52,,,,Especial,X
10255,10254,L 8.112/1990,"186, I e § 1º.",2008-09-30 15:52:52,,,,Invalidez Permanente,X
10257,10254,L 8.112/1990,186 III,2008-09-30 15:52:52,,,,Voluntária,X
10695,10219,,,2008-09-30 15:52:52,,,,Categorias Especiais de Servidor Público,X
10698,10695,,,2008-09-30 15:52:52,,,,Serventuários da Justiça,X
10287,10219,Lei 8112/90,19,2008-09-30 15:52:52,,,,Jornada de Trabalho,X
13186,10287,,,2020-11-04 00:00:00,,,,Horas Extras ,X
13209,10287,,,2020-11-04 00:00:00,,,,Intervalo ,X
10258,10219,,,2008-09-30 15:52:52,,,,Licenças / Afastamentos,X
10273,10258,L 8.112/1990,84,2008-09-30 15:52:52,,,,Acompanhamento de Cônjuge ou Companheiro,X
10272,10258,L 8.112/1990,97 II,2008-09-30 15:52:52,,,,Alistamento / Serviço Eleitoral,X
10270,10258,L 8.112/1990,209,2008-09-30 15:52:52,,,,Amamentação,X
10267,10258,L 8.112/1990,81 IV,2008-09-30 15:52:52,,,,Atividade Política,X
10268,10258,L 8.112/1990,97 III a,2008-09-30 15:52:52,,,,Casamento,X
10259,10258,L 8.112/1990,102 VII c,2008-09-30 15:52:52,,,,Dirigente Sindical,X
10271,10258,L 8.112/1990,97 I,2008-09-30 15:52:52,,,,Doação de Sangue,X
13144,10258,,,2020-11-04 00:00:00,2021-01-20 09:37:57,,,Doença do Próprio Empregado ,X
10262,10258,L 8.112/1990,"81, I; 83",2008-09-30 15:52:52,,,,Doença em Pessoa da Família,X
10274,10258,L 8.112/1990,18,2008-09-30 15:52:52,,,,Exercício em Outro Município,X
10264,10258,L 8.112/1990,102 VIII a,2008-09-30 15:52:52,,,,Gestante / Adotante / Paternidade,X
10265,10258,L 8.112/1990,"81, VI; 91",2008-09-30 15:52:52,,,,Interesse Particular,X
10260,10258,L 8.112/190,"81, V; 87",2008-09-30 15:52:52,,,,Licença Capacitação (Aperfeiçoamento Profissional),X
10275,10258,L 8.112/1990,"185, I, f; 211 a 214",2008-09-30 15:52:52,,,,Licença por Acidente em Serviço,X
10261,10258,L 8.112/1990,81 V (revogado),2008-09-30 15:52:52,,,,Licença-Prêmio,X
10700,10261,,,2008-09-30 15:52:52,,,,Contagem em Dobro,X
10701,10261,,,2008-09-30 15:52:52,,,,Pagamento em Pecúnia,X
10269,10258,L 8.112/1990,"97, III, b",2008-09-30 15:52:52,,,,Luto,X
10266,10258,L 8.112/1990,"81, III",2008-09-30 15:52:52,,,,Serviço Militar,X
10263,10258,L 8.112/1990,"102, VIII, b",2008-09-30 15:52:52,,,,Tratamento da Própria Saúde,X
10250,10219,,,2008-09-30 15:52:52,,,,Pensão,X
10252,10250,Lei 8112/90,art. 215,2008-09-30 15:52:52,,,,Concessão,X
10251,10250,L 8.112/1990,221,2008-09-30 15:52:52,,,,Provisória,X
10253,10250,Lei 8112/90,arts. 215 a 225,2008-09-30 15:52:52,,,,Restabelecimento,X
13295,10250,,,2020-11-04 00:00:00,,,,Revisão ,X
10279,10219,,,2008-09-30 15:52:52,,,,Processo Administrativo Disciplinar ou Sindicância,X
10281,10279,Lei 8112/90,"Art. 127, I, 129",2008-09-30 15:52:52,,,,Advertência,X
10280,10279,L 8.112/1990,33 II,2008-09-30 15:52:52,,,,Demissão ou Exoneração,X
10283,10279,CF,"Art. 37, § 6º",2008-09-30 15:52:52,,,,Responsabilidade Civil do Servidor Público / Indenização ao Erário,X
10282,10279,Lei 8112/90,"Art. 127, II, 130",2008-09-30 15:52:52,,,,Suspensão,X
10313,10219,CF,"art. 37, X",2008-09-30 15:52:52,,,,"Reajustes de Remuneração, Proventos ou Pensão",X
10946,10313,,,2008-09-30 15:52:52,,,,Correção Monetária de Diferenças Pagas em Atraso,X
10220,10219,CF,39,2008-09-30 15:52:52,,,,Regime Estatutário,X
10225,10220,CF; Lei 8.112/90,"CF, art. 37, XVI; Lei 8.112/90, art. 118 a 120",2008-09-30 15:52:52,,,,Acumulação de Cargos,X
10231,10220,Lei 8.878/94,1º,2008-09-30 15:52:52,,,,Anistia Administrativa,X
10227,10220,CF,"37, VII",2008-09-30 15:52:52,,,,Direito de Greve,X
10234,10220,CF,41,2008-09-30 15:52:52,,,,Disponibilidade / Aproveitamento,X
10223,10220,Lei 8.112/90,243,2008-09-30 15:52:52,,,,Enquadramento,X
10222,10220,CF,41,2008-09-30 15:52:52,,,,Estabilidade,X
10238,10220,CF,41,2008-09-30 15:52:52,,,,Estágio Probatório,X
10241,10220,L 8.112/1990,"33 I,; 15 § 2º; 34",2008-09-30 15:52:52,2020-11-04 16:14:44,,,Exoneração ou Demissão,X
10235,10220,Lei 8112/90,"arts. 20, § 3º; 37, § 1º; 93, §7º",2008-09-30 15:52:52,,,,Lotação,X
10881,10220,Lei 8.112/90,117,2008-09-30 15:52:52,,,,Nepotismo,X
10239,10220,CF ; Lei 8.112/90,"37, II; 9º (lei 8.112/90)",2008-09-30 15:52:52,,,,Nomeação,X
10693,10239,,,2008-09-30 15:52:52,,,,Cargo em Comissão,X
10240,10220,Lei 8112/90,art. 13 a 20,2008-09-30 15:52:52,,,,Posse e Exercício,X
10236,10220,Lei 8112/90,art. 17,2008-09-30 15:52:52,,,,Promoção / Ascensão,X
10237,10220,Lei 8.112/90,24,2008-09-30 15:52:52,,,,Readaptação,X
10224,10220,L 8.112/1990,29,2008-09-30 15:52:52,,,,Recondução,X
10233,10220,L 8.112/1990,37,2008-09-30 15:52:52,,,,Redistribuição,X
10230,10220,CF; Lei 8.112/90,"CF, art. 40; Lei 8112/90, art. 183 e segs.",2008-09-30 15:52:52,,,,Regime Previdenciário,X
10226,10220,L 8.112/1990,28,2008-09-30 15:52:52,2020-11-04 16:15:26,,,Reintegração ou Readmissão,X
10229,10220,Lei 8.112/90,36,2008-09-30 15:52:52,,,,Remoção,X
10232,10220,L 8.112/1990,25 a 27,2008-09-30 15:52:52,,,,Reversão,X
10228,10220,Lei 8112/90,"arts. 8º, VI, 25, 27",2008-09-30 15:52:52,,,,Transferência,X
10288,10219,,,2008-09-30 15:52:52,,,,Sistema Remuneratório e Benefícios,X
10662,10288,CF,"Art. 40, § 19",2008-09-30 15:52:52,,,,Abono de Permanência,X
10294,10288,Lei 8112/90,Art. 78,2008-09-30 15:52:52,,,,Abono Pecuniário (Art. 78 Lei 8.112/1990),X
10638,10288,Lei 8112/90,art. 118,2008-09-30 15:52:52,,,,Acumulação de Proventos,X
10730,10288,,,2008-09-30 15:52:52,,,,Adicional de Desempenho,X
10293,10288,Lei 8112/90,71,2008-09-30 15:52:52,,,,Adicional de Fronteira,X
10303,10288,Lei 8.112/90,"Art. 61, V; 73 e 74",2008-09-30 15:52:52,,,,Adicional de Horas Extras,X
10291,10288,Lei 8.112/90,"Arts. 61, IV; 68 e 69",2008-09-30 15:52:52,,,,Adicional de Insalubridade,X
10875,10291,Lei 8270/91,Art. 12,2008-09-30 15:52:52,,,,Base de Cálculo,X
10292,10288,Lei 8.112/90,"Arts. 61, IV; 68 e 69",2008-09-30 15:52:52,,,,Adicional de Periculosidade,X
10309,10288,,,2008-09-30 15:52:52,,,,Adicional de Produtividade,X
13052,10288,,,2020-11-04 00:00:00,,,,Adicional de Qualificação ,X
10308,10288,Lei 8.112/90,"61,VI e 75",2008-09-30 15:52:52,,,,Adicional de Serviço Noturno,X
10302,10288,L 8.112/1990,"61 III, 67 § único",2008-09-30 15:52:52,,,,Adicional por Tempo de Serviço,X
10893,10302,,,2008-09-30 15:52:52,,,,Base de Cálculo,X
10244,10288,L 8.112/1990,230,2008-09-30 15:52:52,,,,Assistência à Saúde,X
10245,10288,L 8.069/1990; D 977/1993,"54, IV; 1º segs.",2008-09-30 15:52:52,,,,Assistência Pré-escolar,X
13079,10288,,,2020-11-04 00:00:00,,,,Auxílio Moradia ,X
10304,10288,Lei 8112/90,"art. 61, VIII",2008-09-30 15:52:52,,,,Auxílio-Alimentação,X
10248,10288,L 8.112/1990,"185 II b, 226 a 228",2008-09-30 15:52:52,,,,Auxílio-Funeral,X
10246,10288,L 8.112/1990,"185, I, b; 196",2008-09-30 15:52:52,,,,Auxílio-Natalidade,X
10247,10288,L 8.112/1990,"185 II c, 229",2008-09-30 15:52:52,,,,Auxílio-Reclusão,X
10306,10288,Lei 8112/90,"arts. 51, III, 60",2008-09-30 15:52:52,,,,Auxílio-transporte,X
10300,10288,Lei 7238/84,arts. 1º a 15,2008-09-30 15:52:52,,,,Data Base,X
10296,10288,Lei 8112/90,arts. 45 e 46,2008-09-30 15:52:52,,,,Descontos Indevidos,X
10298,10288,L 8.112/1990,51,2008-09-30 15:52:52,,,,Diárias e Outras Indenizações,X
10301,10288,Lei 8112/90,art. 77,2008-09-30 15:52:52,,,,Férias,X
10290,10288,Lei 10.187/01,arts. 1º a 8º,2008-09-30 15:52:52,,,,Gratificação de Incentivo,X
10295,10288,Lei 8112/90; Lei 9624/98,"Lei 8112/90, art. 62, §§ 2º e 5º; Lei 9624/98, arts. 2º e 3º",2008-09-30 15:52:52,,,,Gratificação Incorporada / Quintos e Décimos / VPNI,X
10310,10288,Lei 8112/90,"arts. 61, II, 63 a 66.",2008-09-30 15:52:52,,,,Gratificação Natalina/13º salário,X
10289,10288,Lei 8112/90,Art. 61,2008-09-30 15:52:52,,,,Gratificações da Lei 8.112/1990,X
10305,10288,,,2008-09-30 15:52:52,,,,Gratificações de Atividade,X
10718,10288,,,2008-09-30 15:52:52,,,,Gratificações Por Atividades Específicas,X
10323,10288,Lei 8112/90,art. 197,2008-09-30 15:52:52,,,,Inclusão de Dependente,X
10311,10288,CF,"art. 37, XV",2008-09-30 15:52:52,,,,Irredutibilidade de Vencimentos,X
10221,10288,CF,"Art. 37, XIII",2008-09-30 15:52:52,,,,Isonomia/Equivalência Salarial,X
10699,10221,,,2008-09-30 15:52:52,,,,Extensão de Vantagem aos Inativos,X
10312,10288,Lei 11.494/07; Lei 11.738/08,"Lei 11.494/07, art. 41; Lei 11.738/08, arts. 1º a 6º",2008-09-30 15:52:52,,,,Piso Salarial,X
10299,10288,Lei 5645/1970,arts. 1º a 15,2008-09-30 15:52:52,,,,Plano de Classificação de Cargos,X
11858,10288,,,2011-10-05 00:00:00,,,,Recebimento de bolsa de estudos,X
10307,10288,CF,"art. 37, X",2008-09-30 15:52:52,,,,"Revisão Geral Anual (Mora do Executivo - inciso X, art. 37, CF 1988)",X
10249,10288,L 8.112/1990,"185 I c, 197 a 201",2008-09-30 15:52:52,,,,Salário-Família,X
10497,10288,CF,"art. 37, XI",2008-09-30 15:52:52,,,,Subsídios,X
10705,10288,,,2008-09-30 15:52:52,,,,Subteto Salarial,X
10297,10288,L 8.112/1990,42,2008-09-30 15:52:52,,,,Teto Salarial,X
10276,10219,,,2008-09-30 15:52:52,,,,Tempo de Serviço,X
10277,10276,Lei 8213/91,Arts. 55 e 57,2008-09-30 15:52:52,,,,Averbação / Contagem de Tempo Especial,X
10278,10276,CF,"Art. 201, § 9º",2008-09-30 15:52:52,,,,Averbação / Contagem Recíproca,X
12734,,,,,,,,DIREITO ASSISTENCIAL,X
12754,12734,Lei 13.982/2020,2º,2020-06-22 00:00:00,,,,Auxílio Emergencial (Lei 13.982/2020),X
899,,LICCvB,7,,,,,DIREITO CIVIL,X
12935,899,,,2020-11-04 00:00:00,2021-01-20 09:40:40,,,Bem de Família Legal,X
12937,899,,,2020-11-04 00:00:00,,,,Direitos da Personalidade ,X
7947,899,Lei 10406/02,arts. 104 a 232,2008-09-30 15:52:52,,,,Fatos Jurídicos,X
4701,7947,Lei 10406/02,arts. 104 a 184,2008-09-30 15:52:52,,,,Ato / Negócio Jurídico,X
4703,4701,Lei 10406/02,Arts. 138 a 184,2008-09-30 15:52:52,,,,"Defeito, nulidade ou anulação",X
4706,4701,Lei 10406/02,arts. 441 a 457,2008-09-30 15:52:52,,,,Evicção ou Vicio Redibitório,X
5632,7947,Lei 10406/02,arts. 189 a 211,2008-09-30 15:52:52,,,,Prescrição e Decadência,X
14205,899,Lei 13.709/2018,1º,2021-01-20 00:00:00,,,,Lei Geral de Proteção de Dados (LGPD),X
14207,14205,Lei 13.709/2018,1º,2021-01-20 00:00:00,,,,Privacidade,X
14206,14205,"Lei 13,709/2018",1º,2021-01-20 00:00:00,,,,Proteção de Dados Pessoais,X
7681,899,,,2008-09-30 15:52:52,,,,Obrigações,X
7690,7681,,,2008-09-30 15:52:52,,,,Adimplemento e Extinção,X
7709,7690,Lei 10406/02,368 a 380,2008-09-30 15:52:52,,,,Compensação,X
7710,7690,Lei nº 10.406/02 (Código Civil),-arts. 381 a 384,2008-09-30 15:52:52,,,,Confusão,X
7707,7690,Lei nº 10.406/02 (Código Civil),arts. 356 a 359,2008-09-30 15:52:52,,,,Dação em Pagamento,X
10592,7690,Lei 0820/03,arts. 1º a 7º,2008-09-30 15:52:52,,,,Desconto em folha de pagamento,X
7706,7690,Lei nº 10.406/02 (Código Civil),arts. 352 a 355;,2008-09-30 15:52:52,,,,Imputação do Pagamento,X
7708,7690,Lei nº 10.406/02 (Código Civil),arts. 360 a 367,2008-09-30 15:52:52,,,,Novação,X
7703,7690,Lei nº 10.406/02 (Código Civil),arts. 304 a 388,2008-09-30 15:52:52,,,,Pagamento,X
7705,7690,Lei nº 10.406/02 (Código Civil),arts. 346 a 351,2008-09-30 15:52:52,,,,Pagamento com Sub-rogação,X
