Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JFTNU
12846,12843,PNE; Lei 10.260/01; Lei 11.095,"Meta 12.5, 12.6, 12.20",2020-09-23 00:00:00,2021-07-14 11:33:00,,,Outros,X
12845,12843,L13.530/17,1º,2020-09-23 00:00:00,2021-07-14 11:33:00,,,Prouni,X
9985,,,,,,,,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,X
10186,9985,,,2008-09-30 15:52:00,,,,Agentes Políticos,X
10187,10186,,,2008-09-30 15:52:00,,,,Magistratura,X
10189,10187,LC 35,art. 29,2008-09-30 15:52:00,,,,Afastamento,X
10191,10187,LC 35,art. 50,2008-09-30 15:52:00,,,,Aposentadoria,X
10190,10187,LC 35,art. 42,2008-09-30 15:52:00,,,,Processo Disciplinar / Sindicância,X
10192,10187,"CF, LC 35","CF, art. 93, II, III, IV; LC 35, art.80",2008-09-30 15:52:00,,,,Promoção,X
10193,10187,CF; LC 35,"CF, art. 93, VIII-A; LC 35, art. 81",2008-09-30 15:52:00,,,,Remoção,X
10188,10187,"CF, LC 35","CF, art. 37, XI e art. 93, V; LC 35, art. 61 a 65.",2008-09-30 15:52:00,,,,Remuneração,X
10194,10186,,,2008-09-30 15:52:00,,,,Ministério Público,X
10196,10194,Lei 8429/92,"art. 20, parágrafo único.",2008-09-30 15:52:00,,,,Afastamento,X
10198,10194,CF; Lei 8.625/93,"Art. 129, § 4º; Art. 54 e 55",2008-09-30 15:52:00,,,,Aposentadoria,X
10197,10194,CF,"art. 130-A, § 2º, II, III, IV.",2008-09-30 15:52:00,,,,Processo Disciplinar / Sindicância,X
10199,10194,Lei 8625/93,,2008-09-30 15:52:00,,,,Promoção,X
10200,10194,Lei 8625/93,Art. 61,2008-09-30 15:52:00,,,,Remoção,X
10195,10194,"CF, Lei 8625/93","CF, art. 37, XI , 39, § 4º; Lei 8625/93, art. 45 a 50.",2008-09-30 15:52:00,,,,Remuneração,X
10213,10186,,,2008-09-30 15:52:00,,,,Parlamentares,X
10215,10213,Lei 8429/92,"art. 20, par. único",2008-09-30 15:52:00,,,,Afastamento do Cargo,X
10218,10213,Lei 8429/92,art. 7º,2008-09-30 15:52:00,,,,Indisponibilidade de Bens,X
10217,10213,"CF, Lei 4320, LC 101","CF, art. 34, VII, d; LC 101, art. 25, IV, a, 48, 49, 56, 67, III; Lei 4320, art. 78",2008-09-30 15:52:00,,,,Prestação de Contas,X
10216,10213,,,2008-09-30 15:52:00,,,,Recondução,X
10214,10213,CF,"art. 37, X a XV",2008-09-30 15:52:00,,,,Remuneração,X
10732,10214,CF,"art. 39, §4º",2008-09-30 15:52:00,,,,Verba de Representação,X
10201,10186,,,2008-09-30 15:52:00,,,,Prefeito,X
10202,10201,L 8.429/1992,"20, parágrafo único",2008-09-30 15:52:00,,,,Afastamento do Cargo,X
10206,10201,Lei 8429/92,art. 7º,2008-09-30 15:52:00,,,,Indisponibilidade de Bens,X
10205,10201,DL 201/67,"art. 1º, VI, VII",2008-09-30 15:52:00,,,,Prestação de Contas,X
10204,10201,Dl 201/1967,"4º, 5º e 6º",2008-09-30 15:52:00,,,,Recondução,X
10203,10201,CF,"art. 37, X a XV",2008-09-30 15:52:00,,,,Remuneração,X
15066,9985,Lei . º12.382/2011; Lei n. 8.036/1990,,2022-06-01 00:00:00,,,,Aplicação INPC/IPCA - Atualização FGTS,X
9997,9985,,,2008-09-30 15:52:00,,,,Atos Administrativos,X
10010,9997,Leis 4717/65; 7347/85,"Lei 7347, art. 1º; Lei 4717, art. 1º",2008-09-30 15:52:00,,,,"Ato Lesivo ao Patrimônio Artístico, Estético, Histórico ou Turístico",X
10015,9997,,,2008-09-30 15:52:00,,,,Fiscalização,X
10017,10015,,,2008-09-30 15:52:00,,,,Exportação/Vedações,X
10016,10015,,,2008-09-30 15:52:00,,,,Inspeção Fitossanitária,X
10018,10015,,,2008-09-30 15:52:00,,,,Inspeção Sanitária de Origem Animal,X
10019,10015,,,2008-09-30 15:52:00,,,,Segurança e Medicina do Trabalho,X
10011,9997,Lei 8.429/92,,2008-09-30 15:52:00,,,,Improbidade Administrativa,X
10012,10011,L 8.429/1992,10,2008-09-30 15:52:00,,,,Dano ao Erário,X
10013,10011,L 8.429/1992,9º,2008-09-30 15:52:00,,,,Enriquecimento ilícito,X
10014,10011,L 8.429/1992,11,2008-09-30 15:52:00,2022-03-23 13:07:00,,,Violação dos Princípios Administrativos,X
10022,9997,,,2008-09-30 15:52:00,,,,Infração Administrativa,X
10025,10022,,,2008-09-30 15:52:00,,,,Apreensão,X
10024,10022,,,2008-09-30 15:52:00,,,,Interdição,X
10023,10022,,,2008-09-30 15:52:00,,,,Multas e demais Sanções,X
10009,9997,,,2008-09-30 15:52:00,,,,Inquérito / Processo / Recurso Administrativo,X
9998,9997,,,2008-09-30 15:52:00,,,,Licenças,X
10004,9998,Lei 9.478/97 e 9.847/99,,2008-09-30 15:52:00,,,,Funcionamento de Comércio de Derivados de Petróleo,X
10006,9998,,,2008-09-30 15:52:00,,,,Funcionamento de Estabelecimentos Empresariais,X
10084,9998,,,2008-09-30 15:52:00,,,,Jogos de Bingo e/ou Caça-níqueis,X
10079,9998,,,2008-09-30 15:52:00,,,,Loterias/Sorteio,X
10026,9997,L 9.610/1998,,2008-09-30 15:52:00,,,,Registro de Direito Autoral,X
10021,9997,Lei 9.279/96,,2008-09-30 15:52:00,,,,"Registro de Marcas, Patentes ou Invenções",X
10027,9997,L 9.609/1998; L 9.610/1998; D 2.556/1998,,2008-09-30 15:52:00,,,,Registro de Programa de Computador,X
10020,9997,NR 29; Portaria 53/97,,2008-09-30 15:52:00,,,,Registro de Trabalho Portuário/Órgão de Gestão de Mão-de-Obra,X
10412,9985,,,2008-09-30 15:52:00,,,,Comissão Parlamentar de Inquérito - CPI,X
10414,10412,,,2008-09-30 15:52:00,,,,Criação / Instalação / Prosseguimento / Encerramento,X
10416,10412,,,2008-09-30 15:52:00,,,,Limites do Objeto,X
10415,10412,,,2008-09-30 15:52:00,,,,Limites dos Poderes de Investigação,X
10413,10412,,,2008-09-30 15:52:00,,,,Quebra de Sigilo Bancário / Fiscal / Telefônico,X
10370,9985,,,2008-09-30 15:52:00,,,,Concurso Público / Edital,X
10382,10370,Lei 8112/90,arts. 10 a 15,2008-09-30 15:52:00,,,,Anulação,X
10379,10370,8.112/90,arts. 10 a 15,2008-09-30 15:52:00,,,,Anulação e Correção de Provas / Questões,X
10381,10370,CF,"37, IV",2008-09-30 15:52:00,,,,Classificação e/ou Preterição,X
10384,10370,Lei 8112/90,arts. 10 a 15,2008-09-30 15:52:00,,,,Condições Especiais para Prestação de Prova,X
10377,10370,Lei 8112/90,arts. 10 a 15,2008-09-30 15:52:00,,,,Curso de Formação,X
10380,10370,Lei 8112/90,"art. 5º, IV",2008-09-30 15:52:00,,,,Escolaridade,X
10376,10370,Lei 8112/90,"art. 5º, IVI, art. 14",2008-09-30 15:52:00,,,,Exame de Saúde e/ou Aptidão Física,X
10378,10370,,,2008-09-30 15:52:00,,,,Exame Psicotécnico / Psiquiátrico,X
10374,10370,CF,"Art. 93, I; 129, § 3º",2008-09-30 15:52:00,,,,Exigência de Prática Forense,X
10372,10370,Lei 8112/90,,2008-09-30 15:52:00,,,,Inscrição / Documentação,X
10373,10370,Lei 8112/90,"art. 5º, V",2008-09-30 15:52:00,,,,Limite de Idade,X
10383,10370,"CFCF, Lei 8112/90","CF, art. 37, III; Lei 8112/90, art. 12",2008-09-30 15:52:00,,,,Prazo de Validade,X
10375,10370,CF,"37, II",2008-09-30 15:52:00,,,,Prova de Títulos,X
10371,10370,"CF, Lei 8112/90","CF, art. 37, VIII; Lei 8112/90, art. 5º, § 2º",2008-09-30 15:52:00,2022-11-29 15:41:00,,,Reserva de Vagas para Pessoas com Deficiência,X
10421,9985,,,2008-09-30 15:52:00,,,,Contratos Administrativos,X
10423,10421,Lei 8.666/93,59,2008-09-30 15:52:00,,,,Anulação,X
10430,10421,Lei 8.666/93,"art. 57, § 1º, I a II, art. 58, § 2º",2008-09-30 15:52:00,,,,Equilíbrio Financeiro,X
10429,10421,Lei 8.666/93,arts.66 a 76,2008-09-30 15:52:00,,,,Execução Contratual,X
10422,10421,Lei 8.666/93,"art. 78, XV",2008-09-30 15:52:00,,,,Pagamento Atrasado / Correção Monetária,X
10428,10421,Lei 8.666/93,"arts. 80 a 83, 86 a 88.",2008-09-30 15:52:00,,,,Penalidades,X
10426,10421,Lei 8.666/93,"art. 57, §§ 1º, 2º, 4º",2008-09-30 15:52:00,,,,Prorrogação,X
10425,10421,Lei 8.666/93,"art. 58, II, art.78 a 79",2008-09-30 15:52:00,,,,Rescisão,X
10424,10421,Lei 8.666/93,"art. 78, XIV, XV",2008-09-30 15:52:00,,,,Suspensão,X
10427,10421,Lei 8.666/93,"arts. 60, 65, § 6º",2008-09-30 15:52:00,,,,Termo Aditivo,X
10394,9985,,,2008-09-30 15:52:00,,,,Dívida Ativa não-tributária,X
14913,10394,Lei 10.522/2002,2º,2021-09-30 00:00:00,,,,Cadastro de Indadimplentes - CADIN,X
10402,10394,Lei 10406/02,art. 286 a 298,2008-09-30 15:52:00,,,,Cessão de créditos não-tributários,X
14127,10402,"Norma Lei 9.138/1995, MP 2.196-1/200",,2021-01-18 00:00:00,,,,Crédito Rural,X
14128,10394,"Lei 6.830/1980, Lei 4.320/1964",,2021-01-18 00:00:00,,,,FGTS,X
10182,9985,,,2008-09-30 15:52:00,,,,Dívida Pública Mobiliária,X
10183,10182,DL 263/67,art. 1º a 11,2008-09-30 15:52:00,,,,Apólices da Dívida Pública,X
10185,10182,,,2008-09-30 15:52:00,,,,Títulos da Dívida Agrária,X
10184,10182,LC 101/2000,"Arts. 29, II, 34, 36, pár. Único, 39, §4º, 43, § 2º, I",2008-09-30 15:52:00,,,,Títulos da Dívida Pública,X
10088,9985,,,2008-09-30 15:52:00,,,,Domínio Público,X
10089,10088,,,2008-09-30 15:52:00,,,,Bens Públicos,X
10095,10089,Lei 9433/97,art. 1º e segs.,2008-09-30 15:52:00,,,,Águas Públicas,X
10096,10089,CPC,"art. 461, § 5º",2008-09-30 15:52:00,,,,Bloqueio de Valores de Contas Públicas,X
10092,10089,Lei 9636/98,art. 7º,2008-09-30 15:52:00,,,,Taxa de Ocupação,X
10091,10089,,,2008-09-30 15:52:00,,,,Terreno de Marinha,X
10107,10088,,,2008-09-30 15:52:00,,,,Espaço Aéreo,X
10097,10088,,,2008-09-30 15:52:00,,,,Imóvel Funcional,X
10098,10097,,,2008-09-30 15:52:00,,,,Alienação,X
10099,10097,,,2008-09-30 15:52:00,,,,Ocupação,X
10100,10097,,,2008-09-30 15:52:00,,,,Reintegração de Posse,X
10101,10097,,,2008-09-30 15:52:00,,,,Taxa de Ocupação,X
10108,10088,CF,216,2008-09-30 15:52:00,,,,Patrimônio Histórico / Tombamento,X
10131,10088,Lei 9491/97; leis estaduais,art. 1º e segs.,2008-09-30 15:52:00,,,,Privatização,X
10106,10088,Dl 227/1967,,2008-09-30 15:52:00,,,,Recursos Minerais,X
14129,10106,Lei 7.9908/1989,6º,2021-01-18 00:00:00,,,,Compensação Financeira pela Exploração de Recursos Minerais (CFEM),X
10102,10088,,,2008-09-30 15:52:00,,,,Terras Indígenas,X
10105,10102,,,2008-09-30 15:52:00,,,,Demarcação,X
10104,10102,,,2008-09-30 15:52:00,,,,Restituição de área - FUNAI,X
10103,10102,CR1988,"20, XI",2008-09-30 15:52:00,,,,Terreno Aldeado,X
10409,9985,CF,37,2008-09-30 15:52:00,,,,Empregado Público / Temporário,X
10411,10409,CF,37,2008-09-30 15:52:00,,,,Admissão / Permanência / Despedida,X
10410,10409,Lei 8745/93 e Lei 9849/99,arts. 1º e segs.,2008-09-30 15:52:00,,,,Contrato Temporário de Mão de Obra L 8.745/1993,X
9986,9985,,,2008-09-30 15:52:00,,,,Garantias Constitucionais,X
9988,9986,,,2008-09-30 15:52:00,,,,Anistia Política,X
15184,9986,Constituição Federal,"5º, XIV",2022-11-25 16:26:00,,,,Direito de Acesso à Informação,X
9989,9986,,,2008-09-30 15:52:00,,,,Direitos Indígenas,X
9990,9986,CF,34,2008-09-30 15:52:00,,,,Intervenção em Estado / Município,X
10587,9986,,,2008-09-30 15:52:00,,,,Proteção da Intimidade e Sigilo de Dados,X
14130,9986,Constituição Federal,,2021-01-18 00:00:00,,,,Sistema Prisional,X
10120,9985,,,2008-09-30 15:52:00,,,,Intervenção do Estado na Propriedade,X
10134,10120,L 10.251/2001,8º e segs.,2008-09-30 15:52:00,,,,Desapropriação de Imóvel Urbano,X
10133,10120,L 10.257/2001 Estatuto das Cidades,25 a 27,2008-09-30 15:52:00,,,,Direito de Preempção,X
10130,10120,CF,"170, III",2008-09-30 15:52:00,,,,Limitação Administrativa,X
10129,10120,DL 3365/41,35,2008-09-30 15:52:00,,,,Ocupação Temporária,X
10135,10120,CF1988,"5º, XXV",2008-09-30 15:52:00,,,,Requisição de Bem Particular,X
10132,10120,,,2008-09-30 15:52:00,,,,Restituição de área,X
10126,10120,Lei 10406/02,Art. 519,2008-09-30 15:52:00,,,,Retrocessão,X
10128,10120,DL 3365/41,art. 40,2008-09-30 15:52:00,,,,Servidão Administrativa,X
10127,10120,DL 3365/41,art. 7º,2008-09-30 15:52:00,,,,Vistoria,X
10136,9985,,,2008-09-30 15:52:00,,,,Intervenção no Domínio Econômico,X
10139,10136,,,2008-09-30 15:52:00,,,,Controle de Abastecimento,X
10138,10136,,,2008-09-30 15:52:00,,,,Controle de Preços,X
10154,10136,,,2008-09-30 15:52:00,,,,Expurgos Inflacionários / Planos Econômicos,X
10155,10154,L 8.024/1990,,2008-09-30 15:52:00,,,,Cruzados Novos / Bloqueio,X
10156,10154,,,2008-09-30 15:52:00,2008-09-30 15:52:00,,,Poupança,X
10140,10136,,,2008-09-30 15:52:00,,,,Importações,X
10141,10140,,,2008-09-30 15:52:00,,,,Desembaraço Aduaneiro,X
10142,10140,,,2008-09-30 15:52:00,,,,Regime ou Certificado de Origem MERCOSUL,X
10143,10140,,,2008-09-30 15:52:00,,,,Veículo de Turista Comunitário MERCOSUL,X
10144,10136,,,2008-09-30 15:52:00,,,,Incentivo,X
10145,10144,,,2008-09-30 15:52:00,,,,PROAGRO,X
10153,10136,,,2008-09-30 15:52:00,,,,Moeda Estrangeira,X
10137,10136,,,2008-09-30 15:52:00,,,,Política de Preço Mínimo,X
10146,10136,,,2008-09-30 15:52:00,,,,Proteção à Livre Concorrência,X
10149,10146,L 8.884/1994,,2008-09-30 15:52:00,,,,Acordo de Exclusividade,X
10151,10146,L 8.884/1994,54,2008-09-30 15:52:00,,,,Atos de Concentração,X
10150,10146,L 8.884/1994,,2008-09-30 15:52:00,,,,Cartel,X
10148,10146,L 8.884/1994,,2008-09-30 15:52:00,,,,Preços Predatórios,X
10147,10146,L 8.884/1994,,2008-09-30 15:52:00,,,,Venda Casada,X
14202,9985,"Lei 13,709/2018",1º,2021-01-20 00:00:00,,,,Lei Geral de Proteção de Dados (LGPD),X
14204,14202,Lei 13.709/2018,1º,2021-01-20 00:00:00,,,,Privacidade,X
14203,14202,Lei 13.709/2018,1º,2021-01-20 00:00:00,,,,Proteção de Dados Pessoais,X
10385,9985,L 8.666/1993,,2008-09-30 15:52:00,,,,Licitações ,X
10393,10385,Lei 8666/93,"art. 43, VI",2008-09-30 15:52:00,,,,Adjudicação,X
10392,10385,L 8.666/1993,"24, XXVI; 116 e segs.",2008-09-30 15:52:00,,,,Convênio,X
14131,10385,Lei 8.666/1993,24,2021-01-18 00:00:00,,,,Dispensa,X
10388,10385,Lei 8.666/93,21,2008-09-30 15:52:00,,,,Edital,X
10387,10385,L 8.666/1993,art. 27 a 53,2008-09-30 15:52:00,,,,Habilitação / Registro Cadastral / Julgamento / Homologação,X
10386,10385,Lei 8.666/93,art. 20 a 26,2008-09-30 15:52:00,2021-01-18 10:11:00,,,Modalidade / Limite,X
14133,10386,Lei 8.666/1993,"22, I",2021-01-18 00:00:00,,,,Concorrência,X
14136,10386,Lei 8.666/1993,"22, IV",2021-01-18 00:00:00,,,,Concurso,X
14135,10386,Lei 8.666/1993,"22, III",2021-01-18 00:00:00,,,,Convite,X
14137,10386,Lei 8.666/1993,"22, V",2021-01-18 00:00:00,,,,Leilão,X
14138,10386,Lei 10.520/2002,1 e seguintes,2021-01-18 00:00:00,,,,Pregão,X
14140,14138,Decreto 5.450/2005,1 e seguintes,2021-01-18 00:00:00,,,,Eletrônico,X
14139,14138,Lei 10.520/2002,1 e seguintes,2021-01-18 00:00:00,,,,Presencial,X
14134,10386,Lei 8.666/1993,"22, II",2021-01-18 00:00:00,,,,Tomada de Preço,X
10391,10385,Lei 8.666/93,109,2008-09-30 15:52:00,,,,Recursos Administrativos,X
10389,10385,Lei 8.666/93,49,2008-09-30 15:52:00,,,,Revogação,X
10390,10385,Lei 8.666/93,art. 86 a 88,2008-09-30 15:52:00,,,,Sanções Administrativas,X
10324,9985,,,2008-09-30 15:52:00,,,,Militar,X
10359,10324,,,2008-09-30 15:52:00,,,,Pensão,X
10360,10359,Lei 3.765/60; Lei 6880/80,Art. 7º ; Art. 71,2008-09-30 15:52:00,,,,Concessão,X
10362,10359,Lei 3.765/60,art. 1º a 24,2008-09-30 15:52:00,,,,Provisória,X
10361,10359,Lei 6.880/80.,art. 71,2008-09-30 15:52:00,,,,Restabelecimento,X
10363,10324,,,2008-09-30 15:52:00,,,,Processo Administrativo Disciplinar / Sindicância,X
10364,10363,L 6.880/1980; D 4.346/2002,"47, § 1º; 25 e 27",2008-09-30 15:52:00,,,,Advertência / Repreensão,X
10365,10363,L 6.880/1980; D 4.346/2002,"47; 26, 28, 29 e 30",2008-09-30 15:52:00,,,,Impedimento / Detenção / Prisão,X
10366,10363,L 6.880/1980; D 4.346/2002,47; 32,2008-09-30 15:52:00,,,,Licenciamento / Exclusão,X
10512,10363,,,2008-09-30 15:52:00,,,,Responsabilidade Civil do Militar - Indenização ao Erário,X
10367,10363,Lei 6880 de 1980,"82, XI",2008-09-30 15:52:00,,,,Suspensão,X
10342,10324,,,2008-09-30 15:52:00,,,,"Reajuste de Remuneração, Soldo, Proventos ou Pensão",X
10347,10342,,,2008-09-30 15:52:00,,,,Índice da URP abril e maio/1988 DL 2.425/1988,X
10344,10342,,,2008-09-30 15:52:00,,,,Índice da URV Lei 8.880/1994,X
10343,10342,,,2008-09-30 15:52:00,,,,"Índice de 28,86% LL 8.622/1993 e 8.627/1993",X
10346,10342,,,2008-09-30 15:52:00,,,,"Índice de 84,32% IPC março/1990",X
10345,10342,,,2008-09-30 15:52:00,,,,Índice do IPC junho/1987,X
10325,10324,,,2008-09-30 15:52:00,,,,Regime,X
10331,10325,CR1988; L 6.880/1980,"14, § 8º, II, 142, § 3º, III; 81 e 82",2008-09-30 15:52:00,,,,"Adidos, Agregados e Adjuntos",X
10330,10325,Lei nº 10.559/02,,2008-09-30 15:52:00,,,,Anistia Política,X
10336,10325,Lei 6880/80,art. 10 a 13,2008-09-30 15:52:00,,,,Corpo Feminino,X
10327,10325,Lei 6880/80,art. 114,2008-09-30 15:52:00,,,,Curso de Formação,X
10329,10325,Lei 6.880/80,"50, IV, a",2008-09-30 15:52:00,,,,Estabilidade,X
10333,10325,Lei nº 5.315/67,,2008-09-30 15:52:00,,,,Ex-combatentes,X
10326,10325,L 6.880/1980,10 a 13,2008-09-30 15:52:00,,,,Ingresso e Concurso,X
10334,10325,Lei 6.880/80,"50, inciso IV, alínea ""m"" ; 59 a 62",2008-09-30 15:52:00,,,,Promoção,X
10328,10325,Lei 6880/80; CF,"art. 112; art 125, §4º",2008-09-30 15:52:00,,,,Reintegração,X
10335,10325,L 5.292/1967,art. 4º,2008-09-30 15:52:00,,,,Serviço Militar dos Profissionais da Saúde,X
10332,10325,CF,"143, § 1º e 2º",2008-09-30 15:52:00,,,,Serviço Militar Obrigatório,X
10337,10324,,,2008-09-30 15:52:00,,,,Sistema Remuneratório e Benefícios,X
10351,10337,Lei 6880 de 1980,80 a 85,2008-09-30 15:52:00,,,,Agregação,X
10356,10337,Lei 6880 de 1980,"50, IV, ""e""",2008-09-30 15:52:00,,,,Assistência Médico-Hospitalar,X
10596,10337,,,2008-09-30 15:52:00,,,,Auxílio-invalidez,X
14141,10337,Lei 8.112/1990,45 e 46,2021-01-18 00:00:00,,,,Descontos Indevidos,X
10339,10337,Lei 6.880/80,"Art. 50, inc. IV, ""o""",2008-09-30 15:52:00,,,,Férias,X
10338,10337,L 6.880/1980,53,2008-09-30 15:52:00,,,,Gratificações e Adicionais,X
14142,10338,"MP 2.131/2000, Lei 8.237/1991",1 ao 4,2021-01-18 00:00:00,,,,Adicional de Inatividade,X
14143,10338,"Lei 8.237/1991, Decreto 4.307/2002",Art. 4/Decreto (Revogado pela MP 2.215/2001),2021-01-18 00:00:00,,,,Gratificação de Compensação Orgânica,X
14239,10338,Lei 9.442/1997,1 a 4,2021-01-29 00:00:00,,,,Gratificação de Condição Especial de Trabalho,X
10591,10337,Lei 6.680/80,"Art. 50, § 2º, § 3º",2008-09-30 15:52:00,,,,Inclusão de Dependente,X
10340,10337,L 6.880/1980,"53, I, a",2008-09-30 15:52:00,,,,Indenizações Regulares,X
14144,10340,Lei 8.237/1991 e Leis Estaduais que tratam de ajuda de custo a militares estaduais,34 e 38 (Lei 8.237/1991),2021-01-18 00:00:00,,,,Ajuda de Custo,X
10341,10337,CF/88,"Art. 39, § 1º",2008-09-30 15:52:00,,,,Isonomia,X
14145,10341,Lei 8.162/1991,1 e seguintes,2021-01-18 00:00:00,,,,Soldo Legal e Ajustado,X
10357,10337,Lei 6880/80,art. 68,2008-09-30 15:52:00,,,,Licença Prêmio,X
10350,10337,Lei 6.880/80,67 a 70,2008-09-30 15:52:00,,,,Licenças,X
10358,10337,Lei 6.880/80,121 a 123,2008-09-30 15:52:00,,,,Licenciamento,X
10349,10337,Lei 6.880/80,104 a 114,2008-09-30 15:52:00,,,,Reforma,X
10593,10337,,,2008-09-30 15:52:00,,,,Remuneração Mínima,X
10352,10337,Lei 6880 de 1980,96 e 97,2008-09-30 15:52:00,,,,Reserva Remunerada,X
14146,10337,Lei 8.162/1991,"46, caput",2021-01-18 00:00:00,,,,Restituição ao Erário,X
14147,14146,CPC,"297, Parágrafo único, 520, I e II, e 302",2021-01-18 00:00:00,,,,Valores Antecipados na Tutela Revogada/Cassada,X
10354,10337,Lei 6880 de 1980,134 a 143,2008-09-30 15:52:00,,,,Tempo de Serviço,X
10353,10337,Lei 6880 de 1980,"96, II",2008-09-30 15:52:00,,,,Transferência ex-officio para reserva,X
10355,10337,Lei 6880 de 1980,96 e 97,2008-09-30 15:52:00,,,,Transferência para reserva,X
10157,9985,,,2008-09-30 15:52:00,,,,Organização Político-administrativa / Administração Pública,X
10166,10157,,,2008-09-30 15:52:00,,,,Conselhos Regionais de Fiscalização Profissional e Afins,X
10172,10166,,,2008-09-30 15:52:00,,,,Anuidades OAB,X
10171,10166,,,2008-09-30 15:52:00,,,,Eleições,X
10170,10166,,,2008-09-30 15:52:00,,,,Exame da Ordem OAB,X
10173,10166,,,2008-09-30 15:52:00,,,,Exercício Profissional,X
10168,10166,,,2008-09-30 15:52:00,,,,Multas e demais Sanções,X
10169,10166,,,2008-09-30 15:52:00,,,,Questões Funcionais,X
10167,10166,,,2008-09-30 15:52:00,,,,Registro Profissional,X
10158,10157,,,2008-09-30 15:52:00,,,,FGTS/Fundo de Garantia por Tempo de Serviço,X
10159,10158,,,2008-09-30 15:52:00,,,,Atualização de Conta,X
10161,10158,,,2008-09-30 15:52:00,,,,Juros Progressivos,X
10160,10158,,,2008-09-30 15:52:00,,,,Liberação de Conta,X
10162,10158,,,2008-09-30 15:52:00,,,,Localização de Contas,X
10180,10157,,,2008-09-30 15:52:00,,,,Fundo de Participação dos Municípios,X
