Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JF1G
12904,12902,,,2020-09-23 00:00:00,2021-07-14 11:15:59,,,Outros,X
12912,12902,LDB,"art. 62, §6º (LDB); Meta 3.6, 7.7, 13.6 e 13.8",2020-10-01 00:00:00,,,,Taxa de Inscrição,X
12905,12804,,,2020-09-23 00:00:00,2021-07-14 11:14:40,,,Outros,X
12906,12905,,,2020-09-23 00:00:00,2021-07-14 11:15:34,,,Acessibilidade,X
12907,12905,,,2020-09-23 00:00:00,2021-07-14 11:15:41,,,Outros,X
12913,12905,Lei 12.799/2013,1º,2020-10-01 00:00:00,,,,Taxa de Inscrição,X
12899,12804,LDB,"art. 44, II, §1º, §2º, §3º e 50 (LDB)",2020-09-23 00:00:00,2021-07-14 11:14:51,,,Vestibular,X
12900,12899,LDB,"art. 44, II, §1º, §2º, §3º e 50 (LDB)",2020-09-23 00:00:00,2021-07-14 11:15:13,,,Acessibilidade,X
12901,12899,LDB,"art. 44, II, §1º, §2º, §3º e 50 (LDB)",2020-09-23 00:00:00,2021-07-14 11:15:23,,,Outros,X
12914,12899,Lei 12.799/2013,1º,2020-10-01 00:00:00,,,,Taxa de Inscrição,X
14178,12795,Lei 9.870/1999,"5º, V e X",2021-01-18 00:00:00,,,,Renovação de Matrícula - Inadimplência,X
12807,12795,,,2020-09-23 00:00:00,2021-07-14 11:16:40,,,Transferência Discente,X
12908,12807,LDB,"49, parágrafo único",2020-09-23 00:00:00,2021-07-14 11:16:47,,,Militar,X
12909,12807,LDB,49,2020-09-23 00:00:00,2021-07-14 11:16:55,,,Outras,X
12803,12795,CF; LDB; PNE,"art. 208, I (CF); art. 3º, I, 4º, VII e 37, §1º e §2º (LDB); Meta 10 (PNE)",2020-09-23 00:00:00,2021-07-14 11:17:06,,,Vaga,X
12895,12803,LDB,"37, § 1º",2020-09-23 00:00:00,2021-07-14 11:17:18,,,Acesso Próximo do Domicílio,X
12893,12803,"CF, LDB","art. 208, §2° e 211, §2° (CF); art. 4°, IV e 11, V (LDB)",2020-09-23 00:00:00,2021-07-14 11:17:28,,,Ausência de Vaga,X
12894,12803,"CF, LDB","art. 208, IV (CF); art. 4°, II, art. 30, II, art. 24, II, 32, caput (LDB)",2020-09-23 00:00:00,2021-07-14 11:17:38,,,Corte Etário,X
12896,12803,LDB; ECA,"art. 12, VI (LDB); art. 53, V (ECA)",2020-09-23 00:00:00,2021-07-14 11:18:05,,,Matrícula de Irmãos na Mesma Escola,X
12897,12803,LDB; Estatuto da Pessoa com Deficiência,"art. 58, art. 60, § único (LDB); art. 8º (Lei 13.146/15)",2020-09-23 00:00:00,2021-07-14 11:18:32,,,Prioridade de Matrícula para Alunos com Deficiência,X
12798,12775,LDB,"9º, VIII e IX",2020-09-23 00:00:00,2021-07-14 11:19:16,,,Avaliação e Controle,X
12814,12798,CF; LDB; PNE,"art. 206, VI (CF); art. 3º, VIII e 14 (LDB), 7º, II (PNE)",2020-09-23 00:00:00,2021-07-14 11:20:51,,,Autorização de Funcionamento/Fiscalização de Estabelecimentos de Ensino,X
12811,12798,LDB,"9º, IX e 46",2020-09-23 00:00:00,2021-07-14 11:21:12,,,Autorização e Reconhecimento de Cursos,X
12812,12798,LDB,46,2020-09-23 00:00:00,2021-07-14 11:21:33,,,Credenciamento e Recredenciamento,X
12813,12798,Lei 10.861/2004,5º,2020-09-23 00:00:00,2021-07-14 11:21:43,,,Enade,X
12793,12775,,,2020-09-23 00:00:00,2021-07-14 11:21:54,,,Educação Básica,X
12816,12793,,,2020-09-23 00:00:00,2021-07-14 11:22:29,,,Educação Fundamental Regular - Anos Finais,X
12817,12793,,,2020-09-23 00:00:00,2021-07-14 11:22:52,,,Educação Fundamental Regular - Anos Iniciais,X
12818,12793,,,2020-09-23 00:00:00,2021-07-14 11:23:09,,,Educação Infantil - Creche,X
12819,12793,,,2020-09-23 00:00:00,2021-07-14 11:23:25,,,Educação Infantil - Pré-Escola,X
12822,12793,,,2020-09-23 00:00:00,2021-07-14 11:23:47,,,EJA - Ensino Fundamental - Anos Finais,X
12821,12793,,,2020-09-23 00:00:00,2021-07-14 11:24:02,,,EJA - Ensino Fundamental - Anos Iniciais,X
12820,12793,,,2020-09-23 00:00:00,2021-07-14 11:24:16,,,EJA - Ensino Médio,X
12815,12793,,,2020-09-23 00:00:00,2021-07-14 11:24:27,,,Ensino Médio Regular,X
12826,12793,,,2020-09-23 00:00:00,2021-07-14 11:24:36,,,Ensino Noturno,X
12824,12793,,,2020-09-23 00:00:00,2021-07-14 11:24:45,,,Indígenas,X
12825,12793,,,2020-09-23 00:00:00,2021-07-14 11:24:55,,,Quilombolas,X
12915,12793,,,2020-10-01 00:00:00,,,,Sistema Prisional,X
12823,12793,,,2020-09-23 00:00:00,2021-07-14 11:25:14,,,Sistema Socioeducativo,X
12796,12775,LDB,"art. 4º, III, art. 58",2020-09-23 00:00:00,2021-07-14 11:25:27,,,Educação Especial,X
12830,12796,PNE,"Meta 1, Estratégias 1.5 e 1.6, Meta 7, Estratégia 7.18",2020-09-23 00:00:00,2021-07-14 11:25:42,,,Acessibilidade Física,X
12829,12796,PNE,"Meta 1, Estratégia 1.11, Meta 4, Estratégias 4.1, 4.3, 4.4, 4.8, 4.9, 4.11 e 4.13, Meta 6, Estratégia 6.8",2020-09-23 00:00:00,2021-07-14 11:26:28,,,Institucionalização Pedagógica do Atendimento Educacional Especializado,X
12831,12796,"LDB, PNE","art. 59, I (LDB); Meta 1, Estratégias 1.5 e 1.6, Meta 4, Estratégia 4.3, Meta 7, Estratégia 7.18 (PNE)",2020-09-23 00:00:00,2021-07-14 11:27:19,,,"Material Didático Especializado, Tecnologias Assistivas e Suporte",X
12827,12796,"LDB, PNE","art. 59 (LDB); Meta 4, Estratégia 4.9, 4.13 (PNE)",2020-09-23 00:00:00,2021-07-14 11:27:33,,,Profissionais de Apoio,X
12828,12796,"LDB, PNE","art. 59, I (LDB); Meta 4, Estratégia 4.3 (PNE)",2020-09-23 00:00:00,2021-07-14 11:27:44,,,Sala de Recursos Multifuncionais,X
12832,12775,,,2020-09-23 00:00:00,2021-07-14 11:28:00,,,Educação Superior,X
12833,12832,,,2020-09-23 00:00:00,2021-07-14 11:28:44,,,"Graduação (Bacharelado, Licenciatura, Profissional Tecnológica)",X
12834,12832,,,2020-09-23 00:00:00,2021-07-14 11:28:56,,,Pós-Graduação,X
12835,12775,,,2020-09-23 00:00:00,2021-07-14 11:29:14,,,Ensino à Distância,X
12801,12775,"CF, LDB, PNE","art. 213 (CF); art. 68 (LDB); art. 5º, § 2º, §3º, §4º (PNE)",2020-09-23 00:00:00,2021-07-14 11:29:29,,,Financiamento,X
12837,12801,"LDB, PNE","art. 69, § 4º, (LDB); art. 5º, §1º, inciso III (PNE)",2020-09-23 00:00:00,2020-10-08 14:49:54,,,Despesa,X
12838,12837,"CF, LDB","art. 212 (CF); arts. 70, 71 e 72 (LDB)",2020-09-23 00:00:00,2021-07-14 11:29:47,,,Manutenção e Desenvolvimento do Ensino,X
12925,12801,,,2020-10-08 00:00:00,,,,Financiamento Privado do Ensino Superior e/ou Pesquisa,X
12799,12775,,,2020-09-23 00:00:00,2021-07-14 11:29:58,,,Gestão,X
12840,12799,"LDB, PNE","art. 15 (LDB); Meta 19, Estratégia 19.7 (PNE)",2020-09-23 00:00:00,2021-07-14 11:30:18,,,Autonomia da Instituição de Ensino,X
12839,12799,PNE,"Meta 19, Estratégia 19.6",2020-09-23 00:00:00,2021-07-14 11:30:56,,,Estatutos e Regimentos - Regras de Convivência e Sanções Disciplinares,X
12924,12799,,,2020-10-08 00:00:00,,,,Jubilamento de Aluno,X
12921,12799,,,2020-10-08 00:00:00,,,,Penalidades Disciplinares,X
12794,12775,,,2020-09-23 00:00:00,2021-07-14 11:31:09,,,Permanência,X
12929,12794,,,2020-10-08 00:00:00,,,,Colação de Grau,X
12848,12794,,,2020-09-23 00:00:00,2021-07-14 11:31:24,,,Evasão e Abandono,X
12842,12794,LDB,"Art. 24, VIII, art. 48, art. 53",2020-09-23 00:00:00,2021-07-14 11:31:44,,,Expedição de Diplomas e Omissão na Entrega das Notas,X
12841,12794,"CF, LDB","art. 208, §2º (CF); Art. 5º, §3ºe 4º (LDB)",2020-09-23 00:00:00,2021-07-14 11:32:03,,,Mensalidades,X
12849,12794,PNE e lei 11.095/05,Meta 12.20,2020-09-23 00:00:00,2021-07-14 11:32:57,,,"Programas de Assistência Estudantil - Alimentação, Moradia, Creche, Transporte ",X
12843,12794,,,2020-09-23 00:00:00,2021-07-14 11:33:29,,,Programas de Bolsas e Financiamento Estudantil com Recursos Públicos ,X
12844,12843,Lei 13.570/2017,1º,2020-09-23 00:00:00,2021-07-14 11:33:39,,,Fies,X
12846,12843,PNE; Lei 10.260/01; Lei 11.095,"Meta 12.5, 12.6, 12.20",2020-09-23 00:00:00,2021-07-14 11:33:45,,,Outros,X
12845,12843,L13.530/17,1º,2020-09-23 00:00:00,2021-07-14 11:33:52,,,Prouni,X
12802,12775,CF,"art. 8°, 9° e 214",2020-09-23 00:00:00,2021-07-14 11:34:04,,,Planos Decenais,X
12916,12802,CF e PNE,art. 8° e 9°,2020-10-01 00:00:00,,,,Plano Estadual de Educação,X
12919,12916,PNE,"art. 8°, §2°",2020-10-01 00:00:00,,,,Processo de Elaboração,X
12850,12802,"CF, PNE",art. 214 (CF); art. 8° e 9° (PNE),2020-09-23 00:00:00,2021-07-14 11:34:25,,,Plano Municipal de Educação,X
12851,12850,PNEa,"art 8º, § 2º",2020-09-23 00:00:00,2021-07-14 11:34:46,,,Processo de Elaboração,X
12917,12802,CF,214,2020-10-01 00:00:00,,,,Plano Nacional de Educação,X
12918,12917,PNE,"art. 6°, §2°;",2020-10-01 00:00:00,,,,Processo de Elaboração,X
12797,12775,"CF, LDB","art. 206, VII e art. 209, II (CF); art. 3º, IX (LDB)",2020-09-23 00:00:00,2021-07-14 11:34:57,,,Qualidade,X
12862,12797,"CF, PNE, LDB","art. 208 (CF); art. 4º, VIII, art. 10, VII, art. 11, VI, art. 70, VIII (LDB); Meta 4, Estratégia 4.6 e Meta 7, Estratégia 7.17 (PNE)",2020-09-23 00:00:00,2021-07-14 11:35:10,,,Alimentação Escolar,X
12857,12797,"CF, PNE","art. 3, IV, art. 227 (CF); art. 2º, III (PNE)",2020-09-23 00:00:00,2021-07-14 11:35:49,,,"Bullying, Violência e Discriminação",X
12928,12797,,,2020-10-08 00:00:00,,,,Colisão de Horário,X
12927,12797,,,2020-10-08 00:00:00,,,,Currículo Escolar,X
12852,12797,LDB; PNE,"art. 32, I (LDB); Meta 5, Estratégias 5.1, 5.2 e 5.3 (PNE)",2020-09-23 00:00:00,2021-07-14 11:36:53,,,Distorção de Série/Idade,X
12865,12797,,,2020-09-23 00:00:00,2021-07-14 11:37:15,,,Estudos de Recuperação,X
12853,12797,LDB; PNE,"art. 38, §1º, I (LDB); Meta 8, Estratégia 8.3 (PNE)",2020-09-23 00:00:00,2021-07-14 11:37:28,,,Exames de Certificação - Diploma,X
12926,12797,,,2020-10-08 00:00:00,,,,Exigência de Estágio Profissionalizante,X
12858,12797,LDB,"art. 36, V (LDB)",2020-09-23 00:00:00,2021-07-14 11:37:47,,,Formação Técnica Profissional,X
12864,12797,PNE,"art. 11, §1º, II e Meta 4, Estratégia 4.3",2020-09-23 00:00:00,2021-07-14 11:37:59,,,Infraestrutura,X
12854,12797,LDB; PNE,"art. 24, VI (LDB); Meta 8, Estratégia 8.2 (PNE)",2020-09-23 00:00:00,2021-07-14 11:38:17,,,Infrequência Escolar,X
12856,12797,CF; LDB; PNE,"art. 208 (CF); art. 4º, VIII, art. 10, VII, art. 11, VI, art. 70, VIII (LDB); Meta 4, Estratégia 4.6 e Meta 7, Estratégia 7.17 (PNE)",2020-09-23 00:00:00,2021-07-14 11:38:27,,,Material Didático,X
12922,12797,,,2020-10-08 00:00:00,,,,Omissão na Entrega de Notas,X
12860,12797,LDB,25,2020-09-23 00:00:00,2021-07-14 11:38:54,,,Quantidade de Alunos por Sala,X
12863,12797,LDB,4º-A,2020-09-23 00:00:00,2021-07-14 11:39:33,,,Regime Hospitalar ou Domiciliar durante Período de Internação,X
12861,12797,LDB; PNE,"art. 3º, XII (LDB), Meta 7, Estratégia 7.25 (PNE)",2020-09-23 00:00:00,2021-07-14 11:40:05,,,Relações Étnico-Raciais,X
12920,12797,,,2020-10-08 00:00:00,,,,Residência Médica,X
12855,12797,CF; LDB; PNE,"art. 208 (CF); art. 4º, VIII, art. 10, VII, art. 11, VI, art. 70, VIII (LDB); Meta 4, Estratégia 4.6 e Meta 7, Estratégia 7.17 (PNE)",2020-09-23 00:00:00,2021-07-14 11:39:43,,,Transporte,X
12800,12775,,,2020-09-23 00:00:00,2021-07-14 11:40:28,,,Valorização do Magistério e dos Profissionais da Educação ,X
12868,12800,,,2020-09-23 00:00:00,2021-07-14 11:40:48,,,Absenteísmo Docente,X
12870,12868,,,2020-09-23 00:00:00,2021-07-14 11:41:03,,,Faltas,X
12873,12870,CLT,"art. 320, §3º e art. 473 (CLT); Art. 44, parágrafo único (Lei 8112)",2020-09-23 00:00:00,2021-07-14 11:41:15,,,Faltas Justificadas,X
12874,12870,,,2020-09-23 00:00:00,2021-07-14 11:41:30,,,Faltas não Justificadas,X
12869,12868,,,2020-09-23 00:00:00,2021-07-14 11:41:39,,,Licenças,X
12871,12869,CLT,476,2020-09-23 00:00:00,2021-07-14 11:41:49,,,Licença Saúde,X
12872,12869,CF; CLT; Lei 8112; PNE,"art. 5º, XVIII e XIX (CF); Art. 392, art. 543, 2º e art. 611-B, XIII e XIV (CLT); Art. 81 e ss (Lei 8112); Meta 18, Estratégia 18.4 (PNE)",2020-09-23 00:00:00,2021-07-14 11:41:58,,,Outras Licenças,X
12875,12800,"CF, LEi 8112/7990","art. 201, § 8º (CF/88); Art. 186, III, b (Lei 8112/90)",2020-09-23 00:00:00,2021-07-14 11:42:12,,,Aposentadoria Especial,X
12879,12800,,,2020-09-23 00:00:00,2021-07-14 11:42:27,,,Ensino à Distância,X
12880,12879,,,2020-09-23 00:00:00,2021-07-14 11:42:36,,,Certificação,X
12876,12800,Lei 8112/90; Lei 8745/93; CF; CLT,,2020-09-23 00:00:00,2021-07-14 11:42:57,,,Espécies de Vínculo de Trabalho,X
12877,12876,CF; Lei 8745/93,"art. 37, IX (CF); Art. 2º (Lei 8.745/93)",2020-09-23 00:00:00,2021-07-14 11:43:13,,,Contrato Temporário,X
12878,12876,Lei 8112/1990,1º e ss,2020-09-23 00:00:00,2021-07-14 11:43:22,,,Estatutário,X
12891,12800,LDB; PNE,art. 64 a 67 (LDB); Meta 15 (PNE),2020-09-23 00:00:00,2021-07-14 11:43:32,,,Formação,X
12892,12891,PNE,"Meta 15, Estratégia 15.11 e 15.12, Meta 16, Estratégia 16.1 e ss (PNE)",2020-09-23 00:00:00,2021-07-14 11:43:40,,,Continuada,X
12888,12800,CF; LDB; Lei 7.783/89,"art. 7º, VII c/c art. 39, §3º (CF); Art. 24, I, 31, II, 47 (LDB)",2020-09-23 00:00:00,2021-07-14 11:43:50,,,Greve,X
12889,12888,,,2020-09-23 00:00:00,2021-07-14 11:44:15,,,Contrato Temporário,X
12890,12888,,,2020-09-23 00:00:00,2021-07-14 11:44:24,,,Outros,X
12866,12800,CF; CLT; LDB,"art. 7, XIII e ss (CF); Art. 318 e ss (CLT); Art. 24 (LDB)",2020-09-23 00:00:00,2021-07-14 11:44:38,,,Jornada de Trabalho,X
12867,12866,"LDB, Lei 11.738","art. 13, V e 67, V (LDB); Art. 2 §4º (Lei 11738)",2020-09-23 00:00:00,2021-07-14 11:45:08,,,Carga Horária de Aulas/Processo de Atribuição de Aulas e Classes,X
12881,12800,CF; PNE,"art. 206, V (CF); Meta 17, Estratégia 17.3 e Meta 18 (PNE)",2020-09-23 00:00:00,2021-07-14 11:45:27,,,Plano de Carreira,X
12883,12881,,,2020-09-23 00:00:00,2021-07-14 11:45:35,,,Certificação,X
12884,12881,CF; LDB; PNE,"art. 206, V (CF); Art. 67 (LDB); Meta 18, Estratégia 18.3 (PNE)",2020-09-23 00:00:00,2021-07-14 11:45:46,,,Concurso de Ingresso,X
12882,12881,LDB; PNE,"art. 67, IV (LDB); Meta 17, Estratégia 17.3 (PNE)",2020-09-23 00:00:00,2021-07-14 11:45:55,,,Progressão,X
12885,12800,CLT,art. 317 e ss e art. 322,2020-09-23 00:00:00,2021-07-14 11:46:06,,,Remuneração,X
12887,12885,CF; LDB; PNE; Lei 11.738/2008,"art. 206 (CF); Art. 67, III (LDB); Meta 17, Estratégias 17.1 e 17.4 e Meta 18 (PNE); Art. 1 e 2 (Lei 11.738)",2020-09-23 00:00:00,2021-07-14 11:46:15,,,Piso Salarial,X
9985,,,,,,,,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,X
10186,9985,,,2008-09-30 15:52:52,,,,Agentes Políticos,X
10187,10186,,,2008-09-30 15:52:52,,,,Magistratura,X
10189,10187,LC 35,art. 29,2008-09-30 15:52:52,,,,Afastamento,X
10191,10187,LC 35,art. 50,2008-09-30 15:52:52,,,,Aposentadoria,X
13254,10187,,,2020-11-04 00:00:00,,,,Permuta ,X
10190,10187,LC 35,art. 42,2008-09-30 15:52:52,,,,Processo Disciplinar / Sindicância,X
10192,10187,"CF, LC 35","CF, art. 93, II, III, IV; LC 35, art.80",2008-09-30 15:52:52,,,,Promoção,X
10193,10187,CF; LC 35,"CF, art. 93, VIII-A; LC 35, art. 81",2008-09-30 15:52:52,,,,Remoção,X
10188,10187,"CF, LC 35","CF, art. 37, XI e art. 93, V; LC 35, art. 61 a 65.",2008-09-30 15:52:52,,,,Remuneração,X
13323,10187,,,2020-11-04 00:00:00,,,,Vitaliciamento ,X
10194,10186,,,2008-09-30 15:52:52,,,,Ministério Público,X
10196,10194,Lei 8429/92,"art. 20, parágrafo único.",2008-09-30 15:52:52,,,,Afastamento,X
10198,10194,CF; Lei 8.625/93,"Art. 129, § 4º; Art. 54 e 55",2008-09-30 15:52:52,,,,Aposentadoria,X
10197,10194,CF,"art. 130-A, § 2º, II, III, IV.",2008-09-30 15:52:52,,,,Processo Disciplinar / Sindicância,X
10199,10194,Lei 8625/93,,2008-09-30 15:52:52,,,,Promoção,X
10200,10194,Lei 8625/93,Art. 61,2008-09-30 15:52:52,,,,Remoção,X
10195,10194,"CF, Lei 8625/93","CF, art. 37, XI , 39, § 4º; Lei 8625/93, art. 45 a 50.",2008-09-30 15:52:52,,,,Remuneração,X
10213,10186,,,2008-09-30 15:52:52,,,,Parlamentares,X
10215,10213,Lei 8429/92,"art. 20, par. único",2008-09-30 15:52:52,,,,Afastamento do Cargo,X
10218,10213,Lei 8429/92,art. 7º,2008-09-30 15:52:52,,,,Indisponibilidade de Bens,X
10217,10213,"CF, Lei 4320, LC 101","CF, art. 34, VII, d; LC 101, art. 25, IV, a, 48, 49, 56, 67, III; Lei 4320, art. 78",2008-09-30 15:52:52,,,,Prestação de Contas,X
10216,10213,,,2008-09-30 15:52:52,,,,Recondução,X
10214,10213,CF,"art. 37, X a XV",2008-09-30 15:52:52,,,,Remuneração,X
10732,10214,CF,"art. 39, §4º",2008-09-30 15:52:52,,,,Verba de Representação,X
10201,10186,,,2008-09-30 15:52:52,,,,Prefeito,X
10202,10201,L 8.429/1992,"20, parágrafo único",2008-09-30 15:52:52,,,,Afastamento do Cargo,X
10206,10201,Lei 8429/92,art. 7º,2008-09-30 15:52:52,,,,Indisponibilidade de Bens,X
10205,10201,DL 201/67,"art. 1º, VI, VII",2008-09-30 15:52:52,,,,Prestação de Contas,X
10204,10201,Dl 201/1967,"4º, 5º e 6º",2008-09-30 15:52:52,,,,Recondução,X
10203,10201,CF,"art. 37, X a XV",2008-09-30 15:52:52,,,,Remuneração,X
15066,9985,Lei . º12.382/2011; Lei n. 8.036/1990,,2022-06-01 00:00:00,,,,Aplicação INPC/IPCA - Atualização FGTS,X
9997,9985,,,2008-09-30 15:52:52,,,,Atos Administrativos,X
10010,9997,Leis 4717/65; 7347/85,"Lei 7347, art. 1º; Lei 4717, art. 1º",2008-09-30 15:52:52,,,,"Ato Lesivo ao Patrimônio Artístico, Estético, Histórico ou Turístico",X
10015,9997,,,2008-09-30 15:52:52,,,,Fiscalização,X
10017,10015,,,2008-09-30 15:52:52,,,,Exportação/Vedações,X
14954,10015,Lei de Execução Penal,"66, VII",2021-09-30 00:00:00,,,,Inspeção em Estabelecimento Penal,X
10016,10015,,,2008-09-30 15:52:52,,,,Inspeção Fitossanitária,X
14955,10015,,,2021-09-30 00:00:00,,,,Inspeção na Área de Execução Penal e Corregedoria dos Presídios,X
10018,10015,,,2008-09-30 15:52:52,,,,Inspeção Sanitária de Origem Animal,X
14956,10015,Lei de Execução Penal,"66, VIII",2021-09-30 00:00:00,,,,Interdição de Estabelecimento Penal,X
10019,10015,,,2008-09-30 15:52:52,,,,Segurança e Medicina do Trabalho,X
10011,9997,Lei 8.429/92,,2008-09-30 15:52:52,,,,Improbidade Administrativa,X
10012,10011,L 8.429/1992,10,2008-09-30 15:52:52,,,,Dano ao Erário,X
10013,10011,L 8.429/1992,9º,2008-09-30 15:52:52,,,,Enriquecimento ilícito,X
10014,10011,L 8.429/1992,11,2008-09-30 15:52:52,2022-03-23 13:07:55,,,Violação dos Princípios Administrativos,X
10022,9997,,,2008-09-30 15:52:52,,,,Infração Administrativa,X
10025,10022,,,2008-09-30 15:52:52,,,,Apreensão,X
10024,10022,,,2008-09-30 15:52:52,,,,Interdição,X
10023,10022,,,2008-09-30 15:52:52,,,,Multas e demais Sanções,X
10009,9997,,,2008-09-30 15:52:52,,,,Inquérito / Processo / Recurso Administrativo,X
9998,9997,,,2008-09-30 15:52:52,,,,Licenças,X
10003,9998,"Lei 5.991/73, 6.360/76 e 6.437/77",,2008-09-30 15:52:52,,,,Comercialização e/ou Utilização sem Restrições de Medicamentos,X
10002,9998,"Lei 6.437/77, 6.198/74 e 9.782/99",,2008-09-30 15:52:52,,,,Comercialização sem Restrições de Gêneros Alimentícios,X
10001,9998,,,2008-09-30 15:52:52,,,,Comercialização sem Restrições de Produtos Industrializados,X
9999,9998,IN SRF 7/98; 120/98 e 140/98,,2008-09-30 15:52:52,,,,Declaração de Bagagem,X
10000,9998,IN SRF 248/2002,"5º, inciso I",2008-09-30 15:52:52,,,,Declaração de Trânsito Aduaneiro,X
10004,9998,Lei 9.478/97 e 9.847/99,,2008-09-30 15:52:52,,,,Funcionamento de Comércio de Derivados de Petróleo,X
10006,9998,,,2008-09-30 15:52:52,,,,Funcionamento de Estabelecimentos Empresariais,X
10084,9998,,,2008-09-30 15:52:52,,,,Jogos de Bingo e/ou Caça-níqueis,X
10079,9998,,,2008-09-30 15:52:52,,,,Loterias/Sorteio,X
10007,9998,Lei 10.826/2003,,2008-09-30 15:52:52,,,,Registro / Porte de arma de fogo,X
10008,9998,Decreto 63.662/68,4º,2008-09-30 15:52:52,,,,Registro de Aeronave,X
10005,9998,,,2008-09-30 15:52:52,,,,Registro de Empresa,X
10026,9997,L 9.610/1998,,2008-09-30 15:52:52,,,,Registro de Direito Autoral,X
10021,9997,Lei 9.279/96,,2008-09-30 15:52:52,,,,"Registro de Marcas, Patentes ou Invenções",X
10027,9997,L 9.609/1998; L 9.610/1998; D 2.556/1998,,2008-09-30 15:52:52,,,,Registro de Programa de Computador,X
10020,9997,NR 29; Portaria 53/97,,2008-09-30 15:52:52,,,,Registro de Trabalho Portuário/Órgão de Gestão de Mão-de-Obra,X
10412,9985,,,2008-09-30 15:52:52,,,,Comissão Parlamentar de Inquérito - CPI,X
10414,10412,,,2008-09-30 15:52:52,,,,Criação / Instalação / Prosseguimento / Encerramento,X
10416,10412,,,2008-09-30 15:52:52,,,,Limites do Objeto,X
10415,10412,,,2008-09-30 15:52:52,,,,Limites dos Poderes de Investigação,X
10413,10412,,,2008-09-30 15:52:52,,,,Quebra de Sigilo Bancário / Fiscal / Telefônico,X
10370,9985,,,2008-09-30 15:52:52,,,,Concurso Público / Edital,X
10382,10370,Lei 8112/90,arts. 10 a 15,2008-09-30 15:52:52,,,,Anulação,X
10379,10370,8.112/90,arts. 10 a 15,2008-09-30 15:52:52,,,,Anulação e Correção de Provas / Questões,X
12959,10370,,,2020-11-04 00:00:00,,,,Cadastro Reserva ,X
10381,10370,CF,"37, IV",2008-09-30 15:52:52,,,,Classificação e/ou Preterição,X
11909,10370,,,2012-06-06 00:00:00,,,,Concurso para servidor,X
10384,10370,Lei 8112/90,arts. 10 a 15,2008-09-30 15:52:52,,,,Condições Especiais para Prestação de Prova,X
10377,10370,Lei 8112/90,arts. 10 a 15,2008-09-30 15:52:52,,,,Curso de Formação,X
10380,10370,Lei 8112/90,"art. 5º, IV",2008-09-30 15:52:52,,,,Escolaridade,X
10376,10370,Lei 8112/90,"art. 5º, IVI, art. 14",2008-09-30 15:52:52,,,,Exame de Saúde e/ou Aptidão Física,X
10378,10370,,,2008-09-30 15:52:52,,,,Exame Psicotécnico / Psiquiátrico,X
10374,10370,CF,"Art. 93, I; 129, § 3º",2008-09-30 15:52:52,,,,Exigência de Prática Forense,X
10372,10370,Lei 8112/90,,2008-09-30 15:52:52,,,,Inscrição / Documentação,X
10373,10370,Lei 8112/90,"art. 5º, V",2008-09-30 15:52:52,,,,Limite de Idade,X
10383,10370,"CFCF, Lei 8112/90","CF, art. 37, III; Lei 8112/90, art. 12",2008-09-30 15:52:52,,,,Prazo de Validade,X
