Código,Cód. Pai,nome,JME1
1727,268,Petição Criminal,X
277,268,Procedimentos Investigatórios,X
280,277,Auto de Prisão em Flagrante,X
12121,277,Comunicado de Mandado de Prisão,X
279,277,Inquérito Policial,X
1733,277,Procedimento Investigatório Criminal (PIC-MP) ,X
271,277,Representação Criminal,X
272,271,Representação Criminal/Notícia de Crime,X
278,277,Termo Circunstanciado,X
284,268,Processo Especial,X
292,284,Processo Especial de Leis Esparsas,X
14701,292,Habeas Data Criminal,X
1710,292,Mandado de Segurança Criminal,X
285,284,Processo Especial do Código de Processo Penal,X
291,285,Restauração de Autos Criminal,X
316,268,Questões e Processos Incidentes,X
1717,316,Alienação de Bens do Acusado,X
14123,316,Destinação de Bens Apreendidos,X
327,316,Embargos de Terceiro Criminal,X
1715,316,Embargos do Acusado,X
317,316,Exceções,X
324,317,Exceção da Verdade,X
322,317,Exceção de Coisa Julgada,X
323,317,Exceção de Impedimento,X
319,317,Exceção de Incompetência de Juízo,X
320,317,Exceção de Litispendência,X
318,317,Exceção de Suspeição,X
331,316,Incidentes,X
14678,331,Acordo de Não Persecução Penal,X
11787,331,Assistência Judiciária,X
11788,331,Exibição de Documento ou Coisa Criminal,X
11789,331,Impugnação ao Valor da Causa,X
11790,331,Impugnação de Assistência Judiciária,X
332,331,Incidente de Falsidade,X
333,331,Insanidade Mental do Acusado,X
1291,331,Reabilitação,X
328,316,Medidas Assecuratórias,X
330,328,Arresto / Hipoteca Legal,X
329,328,Seqüestro,X
326,316,Restituição de Coisas Apreendidas,X
412,268,Recursos,X
413,412,Agravo de Execução Penal,X
418,412,Carta Testemunhável,X
420,412,Embargos de Declaração Criminal,X
426,412,Recurso em Sentido Estrito,X
11028,,PROCESSO MILITAR ,X
11030,11028,PROCESSO CRIMINAL,X
11037,11030,Ação Penal Militar - Procedimento Ordinário,X
11031,11030,Procedimento Especial,X
11043,11031,Deserção,X
11045,11043,Deserção de Oficial,X
11046,11043,Deserção de Praça,X
11553,11043,Instrução Provisória de Deserção,X
11032,11030,Procedimentos Investigatórios,X
11041,11032,Inquérito Policial Militar,X
11800,11032,Instrução Provisória de Deserção,X
11799,11032,Instrução Provisória de Insubmissão,X
15423,11028,Revisão Judicial - Conselho de Justificação,X
